"fecha","coca_cost.Food","coca_cost.quantity","coca_cost.Demo_Group","coca_cost.Sex","coca_cost.cost_day","coca_cost.Cost_1000kcal","scenario"
2017-01-01,Azúcar sulfitada,609.9462,lactantes 31 a 50 años,1,1534.0661,633.5225,"upr"
2017-01-01,Azúcar sulfitada,279.7516,1 a 3 años,0, 703.5989,633.5225,"upr"
2017-01-01,Azúcar sulfitada,361.8144,4 a 8 años,0, 909.9936,633.5225,"upr"
2017-01-01,Azúcar sulfitada,505.4427,9 a 13 años,0,1271.2310,633.5225,"upr"
2017-01-01,Azúcar sulfitada,691.8723,14 a 18 años,0,1740.1172,633.5225,"upr"
2017-01-01,Azúcar sulfitada,710.2093,19 a 30 años,0,1786.2364,633.5225,"upr"
2017-01-01,Azúcar sulfitada,672.7691,31 a 50 años,0,1692.0711,633.5225,"upr"
2017-01-01,Azúcar sulfitada,546.8919,51 a 70 años,0,1375.4794,633.5225,"upr"
2017-01-01,Azúcar sulfitada,510.2502,>70 años,0,1283.3223,633.5225,"upr"
2017-02-01,Azúcar sulfitada,256.7016,1 a 3 años,1, 605.4973,594.1458,"hat"
2017-02-01,Azúcar sulfitada,331.6302,4 a 8 años,1, 782.2356,594.1458,"hat"
2017-02-01,Azúcar sulfitada,456.2234,9 a 13 años,1,1076.1211,594.1458,"hat"
2017-02-01,Azúcar sulfitada,532.2268,14 a 18 años,1,1255.3947,594.1458,"hat"
2017-02-01,Azúcar sulfitada,511.7957,19 a 30 años,1,1207.2026,594.1458,"hat"
2017-02-01,Azúcar sulfitada,482.7422,31 a 50 años,1,1138.6724,594.1458,"hat"
2017-02-01,Azúcar sulfitada,438.5859,51 a 70 años,1,1034.5185,594.1458,"hat"
2017-02-01,Azúcar sulfitada,412.3622,>70 años,1, 972.6630,594.1458,"hat"
2017-02-01,Azúcar sulfitada,634.8608,gestantes < 18 años,1,1497.4835,594.1458,"hat"
2017-02-01,Azúcar sulfitada,631.4431,gestantes 19 a 30 años,1,1489.4219,594.1458,"hat"
2017-02-01,Azúcar sulfitada,602.3895,gestantes 31 a 50 años,1,1420.8916,594.1458,"hat"
2017-02-01,Azúcar sulfitada,642.4174,lactantes < 18 años,1,1515.3078,594.1458,"hat"
