ciudad,articulo,codigo_articulo,subclase_ipc,method,ipc_last_date,issue
MEDELLIN,LIMONES,1410502,011609,gasto_basico,2025-06-01,NA
MEDELLIN,MANTECA VEGETAL,1730202,011505,gasto_basico,2025-06-01,NA
MEDELLIN,MANZANAS,1410508,011609,gasto_basico,2025-06-01,NA
MEDELLIN,MARACUYA,1410506,011609,gasto_basico,2025-06-01,NA
MEDELLIN,MORAS,1410401,011608,gasto_basico,2025-06-01,NA
MEDELLIN,NARANJAS,1410101,011605,gasto_basico,2025-06-01,NA
MEDELLIN,PAN CORRIENTE,1120101,011108,gasto_basico,2025-06-01,NA
MEDELLIN,PAN FRANCÉS,1120102,011108,gasto_basico,2025-06-01,NA
MEDELLIN,PAN INTEGRAL,1120103,011108,gasto_basico,2025-06-01,NA
MEDELLIN,PAPA,1210101,011705,gasto_basico,2025-06-01,NA
MEDELLIN,PAPA CRIOLLA,1210102,011705,gasto_basico,2025-06-01,NA
MEDELLIN,PASTA PARA SECO,1110301,011102,gasto_basico,2025-06-01,NA
MEDELLIN,PASTA PARA SOPA,1110302,011102,gasto_basico,2025-06-01,NA
MEDELLIN,PESCADO DE MAR,1610101,011303,gasto_basico,2025-06-01,NA
MEDELLIN,PESCADO DE RÍO,1610102,011303,gasto_basico,2025-06-01,NA
MEDELLIN,PESCADO ENLATADO,1610103,011303,gasto_basico,2025-06-01,NA
MEDELLIN,PIÑAS,1410507,011609,gasto_basico,2025-06-01,NA
MEDELLIN,PLÁTANO,1220101,011704,gasto_basico,2025-06-01,NA
MEDELLIN,POLLO DESPRESADO POR LIBRA,1510302,011203,gasto_basico,2025-06-01,NA
MEDELLIN,POLLO ENTERO POR LIBRA,1510301,011203,gasto_basico,2025-06-01,NA
MEDELLIN,QUESO CAMPESINO,1720201,011402,gasto_basico,2025-06-01,NA
MEDELLIN,REPOLLO,1310503,011716,gasto_basico,2025-06-01,NA
MEDELLIN,TOMATE,1310201,011713,gasto_basico,2025-06-01,NA
MEDELLIN,TOMATE DE ÁRBOL,1410301,011607,gasto_basico,2025-06-01,NA
MEDELLIN,YUCA,1210201,011706,gasto_basico,2025-06-01,NA
MEDELLIN,ZANAHORIA,1310301,011715,gasto_basico,2025-06-01,NA
