"fecha","cona_cost.Demo_Group","cona_cost.Sex","cona_cost.cost_day","cona_cost.Cost_1000kcal","scenario"
2014-02-01,31 a 50 años,1,2126.1392,1109.3943,"hat"
2014-02-01,4 a 8 años,1,1896.5456,1440.5181,"hat"
2014-02-01,51 a 70 años,1,2372.4463,1362.5460,"hat"
2014-02-01,9 a 13 años,1,2509.3372,1385.4502,"hat"
2014-02-01,>70 años,1,2350.8231,1435.9873,"hat"
2014-02-01,gestantes 19 a 30 años,1,3365.0970,1342.3720,"hat"
2014-02-01,gestantes 31 a 50 años,1,3653.8714,1527.8662,"hat"
2014-02-01,gestantes < 18 años,1,5637.8951,2236.9074,"hat"
2014-02-01,lactantes 19 a 30 años,1,2519.7170, 993.2546,"hat"
2014-02-01,lactantes 31 a 50 años,1,2476.5969,1022.7589,"hat"
2014-02-01,lactantes < 18 años,1,2921.8376,1145.6402,"hat"
2014-02-01,1 a 3 años,0,1503.9705,1354.1795,"hat"
2014-02-01,14 a 18 años,0,2897.9893,1055.0677,"hat"
2014-02-01,19 a 30 años,0,2608.4930, 925.1514,"hat"
2014-02-01,31 a 50 años,0,2473.5445, 926.1113,"hat"
2014-02-01,4 a 8 años,0,1999.9791,1392.3524,"hat"
2014-02-01,51 a 70 años,0,2562.7896,1180.3775,"hat"
2014-02-01,9 a 13 años,0,2560.7164,1276.1422,"hat"
2014-02-01,>70 años,0,2391.0827,1180.3775,"hat"
2014-03-01,1 a 3 años,1,1419.6169,1393.0029,"hat"
2014-03-01,14 a 18 años,1,2707.6210,1281.4469,"hat"
2014-03-01,19 a 30 años,1,2199.9825,1082.7597,"hat"
2014-03-01,31 a 50 años,1,2159.8235,1126.9704,"hat"
2014-03-01,4 a 8 años,1,1916.7566,1455.8694,"hat"
2014-03-01,51 a 70 años,1,2410.2092,1384.2341,"hat"
2014-03-01,9 a 13 años,1,2538.8547,1401.7474,"hat"
2014-03-01,>70 años,1,2387.7198,1458.5255,"hat"
2014-03-01,gestantes 19 a 30 años,1,3440.3684,1372.3986,"hat"
2014-03-01,gestantes 31 a 50 años,1,3720.9721,1555.9244,"hat"
2014-03-01,gestantes < 18 años,1,5741.3811,2277.9667,"hat"
2014-03-01,lactantes 19 a 30 años,1,2605.1682,1026.9389,"hat"
2014-03-01,lactantes 31 a 50 años,1,2555.8726,1055.4974,"hat"
2014-03-01,lactantes < 18 años,1,2998.4333,1175.6731,"hat"
2014-03-01,1 a 3 años,0,1520.3954,1368.9686,"hat"
2014-03-01,14 a 18 años,0,2945.4119,1072.3328,"hat"
2014-03-01,19 a 30 años,0,2678.5297, 949.9912,"hat"
2014-03-01,31 a 50 años,0,2544.4193, 952.6473,"hat"
2014-03-01,4 a 8 años,0,2019.4339,1405.8965,"hat"
2014-03-01,51 a 70 años,0,2618.4592,1206.0180,"hat"
2014-03-01,9 a 13 años,0,2590.1896,1290.8303,"hat"
2014-03-01,>70 años,0,2443.0224,1206.0180,"hat"
2014-04-01,1 a 3 años,1,1422.3951,1395.7290,"hat"
2014-04-01,14 a 18 años,1,2711.9753,1283.5077,"hat"
2014-04-01,19 a 30 años,1,2206.8821,1086.1555,"hat"
2014-04-01,31 a 50 años,1,2166.3060,1130.3529,"hat"
2014-04-01,4 a 8 años,1,1919.1176,1457.6627,"hat"
2014-04-01,51 a 70 años,1,2414.7956,1386.8681,"hat"
2014-04-01,9 a 13 años,1,2541.9074,1403.4328,"hat"
2014-04-01,>70 años,1,2391.3610,1460.7497,"hat"
2014-04-01,gestantes 19 a 30 años,1,3499.0266,1395.7979,"hat"
