"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha"
"31 a 50 años",0,1,3501.97989929875,9966.89740868213,3322.29913622738,1212639.18472299,99668.9740868214,"MEDELLÍN",16832
"31 a 50 años",1,2,3045.74634706606,9966.89740868213,3322.29913622738,1212639.18472299,99668.9740868214,"MEDELLÍN",16832
"9 a 13 años",1,3,3419.17116231732,9966.89740868213,3322.29913622738,1212639.18472299,99668.9740868214,"MEDELLÍN",16832
"31 a 50 años",0,1,3557.5039805995,10118.5245436669,3372.84151455564,1231087.15281281,101185.245436669,"MEDELLÍN",16861
"31 a 50 años",1,2,3084.56326554824,10118.5245436669,3372.84151455564,1231087.15281281,101185.245436669,"MEDELLÍN",16861
"9 a 13 años",1,3,3476.45729751918,10118.5245436669,3372.84151455564,1231087.15281281,101185.245436669,"MEDELLÍN",16861
"31 a 50 años",0,1,3615.51360869035,10276.3017257522,3425.43390858407,1250283.37663319,102763.017257522,"MEDELLÍN",16892
"31 a 50 años",1,2,3137.6872646415,10276.3017257522,3425.43390858407,1250283.37663319,102763.017257522,"MEDELLÍN",16892
"9 a 13 años",1,3,3523.10085242035,10276.3017257522,3425.43390858407,1250283.37663319,102763.017257522,"MEDELLÍN",16892
"31 a 50 años",0,1,3630.85398535036,10332.61689181,3444.20563060334,1257135.05517022,103326.1689181,"MEDELLÍN",16922
"31 a 50 años",1,2,3154.48559464706,10332.61689181,3444.20563060334,1257135.05517022,103326.1689181,"MEDELLÍN",16922
"9 a 13 años",1,3,3547.27731181262,10332.61689181,3444.20563060334,1257135.05517022,103326.1689181,"MEDELLÍN",16922
"31 a 50 años",0,1,3625.8827262537,10314.8443164328,3438.28143881093,1254972.72516599,103148.443164328,"MEDELLÍN",16953
"31 a 50 años",1,2,3147.42623429264,10314.8443164328,3438.28143881093,1254972.72516599,103148.443164328,"MEDELLÍN",16953
"9 a 13 años",1,3,3541.53535588645,10314.8443164328,3438.28143881093,1254972.72516599,103148.443164328,"MEDELLÍN",16953
"31 a 50 años",0,1,3620.6585643556,10291.8915661265,3430.63052204215,1252180.14054539,102918.915661265,"MEDELLÍN",16983
"31 a 50 años",1,2,3138.19313699751,10291.8915661265,3430.63052204215,1252180.14054539,102918.915661265,"MEDELLÍN",16983
"9 a 13 años",1,3,3533.03986477335,10291.8915661265,3430.63052204215,1252180.14054539,102918.915661265,"MEDELLÍN",16983
"31 a 50 años",0,1,3634.73537461411,10310.9708251088,3436.99027503627,1254501.45038824,103109.708251088,"MEDELLÍN",17014
"31 a 50 años",1,2,3142.49643323838,10310.9708251088,3436.99027503627,1254501.45038824,103109.708251088,"MEDELLÍN",17014
"9 a 13 años",1,3,3533.73901725631,10310.9708251088,3436.99027503627,1254501.45038824,103109.708251088,"MEDELLÍN",17014
"31 a 50 años",0,1,3632.02731669802,10311.8473423038,3437.28244743459,1254608.09331363,103118.473423038,"MEDELLÍN",17045
"31 a 50 años",1,2,3147.07549361278,10311.8473423038,3437.28244743459,1254608.09331363,103118.473423038,"MEDELLÍN",17045
"9 a 13 años",1,3,3532.74453199298,10311.8473423038,3437.28244743459,1254608.09331363,103118.473423038,"MEDELLÍN",17045
"31 a 50 años",0,1,3594.18954172777,10231.0071993411,3410.33573311369,1244772.5425865,102310.071993411,"MEDELLÍN",17075
"31 a 50 años",1,2,3122.75577636686,10231.0071993411,3410.33573311369,1244772.5425865,102310.071993411,"MEDELLÍN",17075
"9 a 13 años",1,3,3514.06188124644,10231.0071993411,3410.33573311369,1244772.5425865,102310.071993411,"MEDELLÍN",17075
"31 a 50 años",0,1,3621.23958567023,10314.9887434851,3438.3295811617,1254990.29712402,103149.887434851,"MEDELLÍN",17106
"31 a 50 años",1,2,3155.98573350456,10314.9887434851,3438.3295811617,1254990.29712402,103149.887434851,"MEDELLÍN",17106
"9 a 13 años",1,3,3537.76342431031,10314.9887434851,3438.3295811617,1254990.29712402,103149.887434851,"MEDELLÍN",17106
"31 a 50 años",0,1,3638.14200899277,10382.1302051324,3460.71006837745,1263159.17495777,103821.302051324,"MEDELLÍN",17136
"31 a 50 años",1,2,3179.74130026301,10382.1302051324,3460.71006837745,1263159.17495777,103821.302051324,"MEDELLÍN",17136
