"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha"
"9 a 13 años",1,3,1439.49606073248,5085.41561534514,1695.13853844838,618725.566533658,50854.1561534514,"BOGOTÁ D.C.",19174
"31 a 50 años",0,1,2150.20950697273,5151.19854159265,1717.06618053088,626729.155893772,51511.9854159265,"BOGOTÁ D.C.",19205
"31 a 50 años",1,2,1542.87222184684,5151.19854159265,1717.06618053088,626729.155893772,51511.9854159265,"BOGOTÁ D.C.",19205
"9 a 13 años",1,3,1458.11681277308,5151.19854159265,1717.06618053088,626729.155893772,51511.9854159265,"BOGOTÁ D.C.",19205
"31 a 50 años",0,1,2181.86995400336,5227.04661502061,1742.34887167354,635957.33816084,52270.4661502061,"BOGOTÁ D.C.",19236
"31 a 50 años",1,2,1565.59001939001,5227.04661502061,1742.34887167354,635957.33816084,52270.4661502061,"BOGOTÁ D.C.",19236
"9 a 13 años",1,3,1479.58664162723,5227.04661502061,1742.34887167354,635957.33816084,52270.4661502061,"BOGOTÁ D.C.",19236
"31 a 50 años",0,1,2228.23525321468,5338.12270360795,1779.37423453598,649471.595605634,53381.2270360795,"BOGOTÁ D.C.",19266
"31 a 50 años",1,2,1598.85921105658,5338.12270360795,1779.37423453598,649471.595605634,53381.2270360795,"BOGOTÁ D.C.",19266
"9 a 13 años",1,3,1511.02823933669,5338.12270360795,1779.37423453598,649471.595605634,53381.2270360795,"BOGOTÁ D.C.",19266
"31 a 50 años",0,1,2296.35773166155,5501.32187582222,1833.77395860741,669327.494891703,55013.2187582222,"BOGOTÁ D.C.",19297
"31 a 50 años",1,2,1647.74015932614,5501.32187582222,1833.77395860741,669327.494891703,55013.2187582222,"BOGOTÁ D.C.",19297
"9 a 13 años",1,3,1557.22398483453,5501.32187582222,1833.77395860741,669327.494891703,55013.2187582222,"BOGOTÁ D.C.",19297
"31 a 50 años",0,1,2403.49308322939,5757.98312904413,1919.32770968138,700554.614033703,57579.8312904413,"BOGOTÁ D.C.",19327
"31 a 50 años",1,2,1724.61460220056,5757.98312904413,1919.32770968138,700554.614033703,57579.8312904413,"BOGOTÁ D.C.",19327
"9 a 13 años",1,3,1629.87544361417,5757.98312904413,1919.32770968138,700554.614033703,57579.8312904413,"BOGOTÁ D.C.",19327
"31 a 50 años",0,1,2454.2098182886,5879.48383435872,1959.82794478624,715337.199846977,58794.8383435872,"BOGOTÁ D.C.",19358
"31 a 50 años",1,2,1761.00614518829,5879.48383435872,1959.82794478624,715337.199846977,58794.8383435872,"BOGOTÁ D.C.",19358
"9 a 13 años",1,3,1664.26787088183,5879.48383435872,1959.82794478624,715337.199846977,58794.8383435872,"BOGOTÁ D.C.",19358
"31 a 50 años",0,1,2493.2226914057,5972.94591535709,1990.9819717857,726708.419701779,59729.4591535709,"BOGOTÁ D.C.",19389
"31 a 50 años",1,2,1788.99963979038,5972.94591535709,1990.9819717857,726708.419701779,59729.4591535709,"BOGOTÁ D.C.",19389
"9 a 13 años",1,3,1690.72358416101,5972.94591535709,1990.9819717857,726708.419701779,59729.4591535709,"BOGOTÁ D.C.",19389
"31 a 50 años",0,1,2501.47541456762,5992.71674018973,1997.57224672991,729113.870056417,59927.1674018973,"BOGOTÁ D.C.",19417
"31 a 50 años",1,2,1794.92134057341,5992.71674018973,1997.57224672991,729113.870056417,59927.1674018973,"BOGOTÁ D.C.",19417
