ciudad,articulo,subclase_ipc,k,apply_D,lambda,sigma2,se2,r2,n_obs,est_ok
CALI,ARROZ INTEGRAL,011101,2,TRUE,0.8502976234814105,1.6085860326131907e-4,7.311691943307521e-4,0.8303711959308586,203,TRUE
CALI,HARINA PRECOCIDA,011106,1,FALSE,1,NA,NA,NA,NA,TRUE
CALI,HARINA DE TRIGO,011105,2,TRUE,0.21125564724721457,5.837341807465173e-4,0.004139353221511963,0.0506699001694142,203,TRUE
CALI,PASTA PARA SECO,011102,2,TRUE,0.9788586912013318,5.590871723806702e-4,0.006967594904995343,0.405037555311456,203,TRUE
CALI,PASTA PARA SOPA,011102,2,TRUE,0.9768568694361756,4.568388480520346e-5,5.693330463185832e-4,0.8924435084564621,203,TRUE
CALI,AVENA HOJUELAS,011103,2,TRUE,0.9983271189296633,1.6078506005994228e-4,0.002112508455252757,0.700202626554873,203,TRUE
CALI,AVENA MOLIDA,011103,2,TRUE,0.9249005019259953,1.613911195670159e-4,0.002120471296032877,0.6663474352223445,203,TRUE
CALI,PAN CORRIENTE,011108,3,TRUE,0.8420431689734817,6.110959047250562e-5,0.0025888828402748686,0.5755209899355246,203,TRUE
CALI,PAN FRANCÉS,011108,3,TRUE,0.9707956580697868,4.1629184052752454e-4,0.017636033790359676,0.20920317668594604,203,TRUE
CALI,PAN INTEGRAL,011108,3,TRUE,0.9314943392610487,1.858326635091883e-4,0.007872724886578435,0.35300713668563843,203,TRUE
CALI,PAPA,011705,2,TRUE,1.0304933954765292,4.527577906230793e-4,1.573792797102763e-4,0.9709331592843916,203,TRUE
CALI,PAPA CRIOLLA,011705,2,TRUE,0.6367019114832168,0.012739166267261612,0.0044281530937148325,0.31186762924010425,203,TRUE
CALI,YUCA,011706,1,FALSE,1,NA,NA,NA,NA,TRUE
CALI,ARRACACHA,011712,1,FALSE,1,NA,NA,NA,NA,TRUE
CALI,PLÁTANO,011704,1,FALSE,1,NA,NA,NA,NA,TRUE
CALI,CEBOLLA LARGA,011714,2,TRUE,0.5449565085268803,0.006105644461332024,0.0023680000121147743,0.38304190292731705,203,TRUE
CALI,CEBOLLA CABEZONA,011714,2,TRUE,1.3273002324178724,0.004213704998635356,0.001634234281247318,0.8421891108199865,203,TRUE
CALI,TOMATE,011713,1,FALSE,1,NA,NA,NA,NA,TRUE
CALI,ZANAHORIA,011715,1,FALSE,1,NA,NA,NA,NA,TRUE
CALI,HABICHUELAS FRESCAS,011716,9,TRUE,1.9439858383980761,0.03340224292031638,0.07162801358604351,0.20709630814646238,203,TRUE
CALI,REPOLLO,011716,9,TRUE,0.36931801617685306,0.006986621751504889,0.014982162692821925,0.043125114951005496,203,TRUE
CALI,LECHUGA,011716,9,TRUE,0.823067610149751,0.008415986274910666,0.01804730241251557,0.15670622603320736,203,TRUE
CALI,AJO,011716,9,TRUE,0.1813254378576425,0.0045469278707002845,0.009750465322769861,0.016419155663188086,203,TRUE
CALI,AHUYAMA,011716,9,TRUE,0.2446165729402203,0.0051962928659820004,0.011142968359625782,0.02589554279371738,203,TRUE
CALI,FRÍJOL FRESCO,011716,9,TRUE,0.09372484130910153,0.005165153498886602,0.011076192873479811,0.003910801553954739,203,TRUE
CALI,FRÍJOL SECO,011716,9,TRUE,0.17389832633975588,0.001376145253333338,0.0029510159283996965,0.04828103854109563,203,TRUE
CALI,ARVEJA FRESCA,011716,9,TRUE,0.9857370046753434,0.019307348229058996,0.04140281850415368,0.10408918833107986,203,TRUE
CALI,ARVEJA SECA,011716,9,TRUE,0.038612424352228794,7.291863555416872e-4,0.001563672544568238,0.004697987349449344,203,TRUE
CALI,LENTEJAS,011702,1,FALSE,1,NA,NA,NA,NA,TRUE
CALI,FRÍJOL TARRO,011703,2,TRUE,1.1180900527915583,1.130990899752345e-4,0.003630277576977991,0.6302809566340084,203,TRUE
CALI,ARVEJA TARRO,011703,2,TRUE,1.0392095105484076,9.259237028845712e-5,0.0029720487205602913,0.6427125037554986,203,TRUE
CALI,NARANJAS,011605,1,FALSE,1,NA,NA,NA,NA,TRUE
CALI,BANANOS,011606,1,FALSE,1,NA,NA,NA,NA,TRUE
CALI,TOMATE DE ÁRBOL,011607,1,FALSE,1,NA,NA,NA,NA,TRUE
CALI,MORAS,011608,1,FALSE,1,NA,NA,NA,NA,TRUE
CALI,GUAYABAS,011609,8,TRUE,0.08101191105539203,0.002973890169941154,0.004235781506058152,0.007611922765643855,203,TRUE
CALI,LIMONES,011609,8,TRUE,1.4917046765921034,0.019647025489851297,0.02798371912322908,0.28245909534856334,203,TRUE
CALI,AGUACATE,011609,8,TRUE,0.9677129160447209,0.007076537406220774,0.010079278170784568,0.31504585634788995,203,TRUE
CALI,CURUBAS,011609,8,TRUE,0.43567676168057456,0.001870561367533858,0.0026642844199937436,0.26073395684278905,203,TRUE
CALI,MARACUYA,011609,8,TRUE,1.7388217723392099,0.01151469762041445,0.016400653837652806,0.4771613691262946,203,TRUE
CALI,PIÑAS,011609,8,TRUE,0.18298142411049417,0.001404103651851274,0.0019998977572255223,0.07653747325241857,203,TRUE
CALI,MANZANAS,011609,8,TRUE,0.35619030877919655,0.0037123739439163853,0.005287621262598393,0.10617122320533641,203,TRUE
CALI,LULOS,011609,8,TRUE,0.3277412608272445,0.006102917882282051,0.008692529051694405,0.05764720342380751,203,TRUE
CALI,MANGOS,NA,1,FALSE,1,NA,NA,NA,NA,TRUE
CALI,MELOCOTONES O VARIEDAD DISPONIBLE,NA,1,FALSE,1,NA,NA,NA,NA,TRUE
