"deciles","rate","gap","severity","model","ciudad","fecha"
"Decil 1",9.25925925925926,0.0587023786421808,0.0461752678345961,"CoCA","BOGOTÁ D.C.",17775
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17775
"Decil 1",100,0.328131779918384,0.168031086809163,"CoNA","BOGOTÁ D.C.",17775
"Decil 2",2.22222222222222,9.86327684863005e-05,1.10258525295274e-06,"CoNA","BOGOTÁ D.C.",17775
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17775
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17775
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17775
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17775
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17775
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17775
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17775
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17775
"Decil 1",100,0.608385696967369,0.390640178280589,"CoRD","BOGOTÁ D.C.",17775
"Decil 2",100,0.291697252510086,0.0909899262085559,"CoRD","BOGOTÁ D.C.",17775
"Decil 3",93.3333333333333,0.105593208119409,0.0157839516418161,"CoRD","BOGOTÁ D.C.",17775
"Decil 4",0,0,0,"CoRD","BOGOTÁ D.C.",17775
"Decil 5",0,0,0,"CoRD","BOGOTÁ D.C.",17775
"Decil 6",0,0,0,"CoRD","BOGOTÁ D.C.",17775
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.",17775
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.",17775
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.",17775
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.",17775
"Decil 1",11.8959107806691,0.0743237310835084,0.0629109607625774,"CoCA","BOGOTÁ D.C.",17805
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",17805
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",17805
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",17805
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",17805
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",17805
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",17805
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",17805
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",17805
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",17805
"Decil 1",100,0.295489738165452,0.159489895557567,"CoNA","BOGOTÁ D.C.",17805
"Decil 2",4.46096654275093,0.000587284696657319,8.07525730317529e-06,"CoNA","BOGOTÁ D.C.",17805
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",17805
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",17805
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",17805
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",17805
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",17805
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",17805
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",17805
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",17805
