ciudad,anio_mes,fecha_mes,nominal,real_B,n_obs,implicit_deflator_B,nom_growth_yoy,real_growth_yoy
"BOGOTA, D.C.",2018-01,2018-01-01,1158.0667886065191,1162.0101535574315,22,0.9966064281462258,-17.194255454636853,-18.457090037561986
"BOGOTA, D.C.",2018-02,2018-02-01,1142.7394857490274,1133.7468032135562,22,1.0079318261449397,-16.202792696025792,-16.724608849877185
"BOGOTA, D.C.",2018-03,2018-03-01,1114.8737929393064,1087.974698672195,22,1.0247240071850385,-17.4259453735929,-18.928211420619377
"BOGOTA, D.C.",2018-04,2018-04-01,1127.1902725696025,1088.474135136942,22,1.035569184588653,-16.922544490007418,-19.974505246951
"BOGOTA, D.C.",2018-05,2018-05-01,1144.7354463830243,1120.9660061734385,22,1.0212044255389383,-15.257611070615384,-15.824558343712347
"BOGOTA, D.C.",2018-06,2018-06-01,1165.1854502965161,1131.2638442375248,22,1.0299855831438285,-11.318969985166705,-11.252921327303177
"BOGOTA, D.C.",2018-07,2018-07-01,1167.5093143780718,1133.6295451311635,22,1.0298861029093842,-9.14306585002599,-8.974267976372474
"BOGOTA, D.C.",2018-08,2018-08-01,1165.882609520533,1151.4597727977969,22,1.0125256974350842,-8.791403115103957,-8.130780852990405
"BOGOTA, D.C.",2018-09,2018-09-01,1156.0061871757953,1141.2092467602338,22,1.0129660186837501,-8.263913612438401,-9.993600620095489
"BOGOTA, D.C.",2018-10,2018-10-01,1163.3263590309714,NA,22,NA,-4.423909704984075,NA
"BOGOTA, D.C.",2018-11,2018-11-01,1162.513006602952,1151.9710298657872,22,1.0091512516060348,-1.450891599431814,-5.021869675687574
"BOGOTA, D.C.",2018-12,2018-12-01,1161.9320405829378,1161.9320405829378,22,1,0.5249977466925015,-3.562527146987815
"BOGOTA, D.C.",2019-01,2019-01-01,1166.4635755405468,NA,22,NA,0.7250693152276,NA
"BOGOTA, D.C.",2019-02,2019-02-01,1177.6181231308149,NA,22,NA,3.052194994288282,NA
"BOGOTA, D.C.",2019-03,2019-03-01,1182.0334648844212,NA,22,NA,6.0239708180826135,NA
"BOGOTA, D.C.",2019-04,2019-04-01,1182.1496580884238,NA,22,NA,4.875786001376059,NA
"BOGOTA, D.C.",2019-05,2019-05-01,1185.0544881899937,NA,22,NA,3.522127486692561,NA
"BOGOTA, D.C.",2019-06,2019-06-01,1199.3462522898374,NA,22,NA,2.9317909852571544,NA
"BOGOTA, D.C.",2019-07,2019-07-01,1235.249952343201,NA,22,NA,5.80214968145365,NA
"BOGOTA, D.C.",2019-08,2019-08-01,1265.4601853989273,NA,22,NA,8.540960733546354,NA
"BOGOTA, D.C.",2019-09,2019-09-01,1267.6678562764798,NA,22,NA,9.659262237469669,NA
"BOGOTA, D.C.",2019-10,2019-10-01,1266.8545038469606,NA,22,NA,8.89932081503131,NA
"BOGOTA, D.C.",2019-11,2019-11-01,1298.6914417602259,NA,22,NA,11.714142928620564,NA
"BOGOTA, D.C.",2019-12,2019-12-01,1372.1255467244919,NA,22,NA,18.090000000008665,NA
"BOGOTA, D.C.",2020-01,2020-01-01,1475.8860779484867,NA,22,NA,26.526546468847222,NA
"BOGOTA, D.C.",2020-02,2020-02-01,1554.4326838903753,NA,22,NA,31.998026640228794,NA
"BOGOTA, D.C.",2020-03,2020-03-01,1570.8532899503496,NA,22,NA,32.89414696088551,NA
"BOGOTA, D.C.",2020-04,2020-04-01,1601.027535345394,NA,22,NA,35.43357428485916,NA
"BOGOTA, D.C.",2020-05,2020-05-01,1600.4300255355909,NA,22,NA,35.05117625266545,NA
"BOGOTA, D.C.",2020-06,2020-06-01,1603.7163294895063,NA,22,NA,33.71587449642921,NA
"BOGOTA, D.C.",2020-07,2020-07-01,1567.7209681328432,NA,22,NA,26.915282624295035,NA
"BOGOTA, D.C.",2020-08,2020-08-01,1538.6304081399956,NA,22,NA,21.58663116334658,NA
"BOGOTA, D.C.",2020-09,2020-09-01,1495.522729433959,NA,22,NA,17.974335471971116,NA
"BOGOTA, D.C.",2020-10,2020-10-01,1458.2247109310615,NA,22,NA,15.105934146579703,NA
"BOGOTA, D.C.",2020-11,2020-11-01,1458.4570973390678,NA,22,NA,12.302048850210179,NA
"BOGOTA, D.C.",2020-12,2020-12-01,1442.3062419751793,NA,22,NA,5.114742992594312,NA
"BOGOTA, D.C.",2021-01,2021-01-01,1439.169025465604,NA,22,NA,-2.487797197322994,NA
"BOGOTA, D.C.",2021-02,2021-02-01,1431.9650468144305,NA,22,NA,-7.8786066675745285,NA
"BOGOTA, D.C.",2021-03,2021-03-01,1410.4693040634136,NA,22,NA,-10.209991404862851,NA
"BOGOTA, D.C.",2021-04,2021-04-01,1400.709074922679,NA,22,NA,-12.511868534447135,NA
"BOGOTA, D.C.",2021-05,2021-05-01,1415.2332254305281,NA,22,NA,-11.571689930216467,NA
"BOGOTA, D.C.",2021-06,2021-06-01,1405.2406098802878,NA,22,NA,-12.375986697871754,NA
"BOGOTA, D.C.",2021-07,2021-07-01,1375.37895643807,NA,22,NA,-12.268893228101218,NA
