"deciles","rate","gap","severity","model","ciudad","trimestre"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q4"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2019Q4"
"Decil 1",39.6761133603239,0.168067620237495,0.102427523424861,"CoNA","BOGOTÁ D.C.","2019Q4"
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q4"
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q4"
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q4"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q4"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q4"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q4"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q4"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q4"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2019Q4"
"Decil 1",48.582995951417,0.378545443178762,0.300262349859,"CoRD","BOGOTÁ D.C.","2019Q4"
"Decil 2",50.2024291497976,0.279405729444608,0.156592472230398,"CoRD","BOGOTÁ D.C.","2019Q4"
"Decil 3",42.914979757085,0.191389432024943,0.0858823928563031,"CoRD","BOGOTÁ D.C.","2019Q4"
"Decil 4",50.8130081300813,0.153904905131116,0.0478047627373132,"CoRD","BOGOTÁ D.C.","2019Q4"
"Decil 5",55.6910569105691,0.0851083007114007,0.0143918641214196,"CoRD","BOGOTÁ D.C.","2019Q4"
"Decil 6",21.1382113821138,0.00666644897215652,0.00027700658448846,"CoRD","BOGOTÁ D.C.","2019Q4"
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q4"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q4"
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q4"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2019Q4"
"Decil 1",20.3921568627451,0.153845048692517,0.13685126072596,"CoCA","BOGOTÁ D.C.","2020Q1"
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q1"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q1"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q1"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q1"
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q1"
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q1"
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q1"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q1"
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q1"
"Decil 1",53.7254901960784,0.287322538483116,0.204861529562855,"CoNA","BOGOTÁ D.C.","2020Q1"
"Decil 2",8.62745098039216,0.00439800729915201,0.000277046391385423,"CoNA","BOGOTÁ D.C.","2020Q1"
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q1"
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q1"
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q1"
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q1"
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q1"
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q1"
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q1"
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.","2020Q1"
"Decil 1",53.7254901960784,0.453986812655443,0.389307582617579,"CoRD","BOGOTÁ D.C.","2020Q1"
"Decil 2",51.3725490196078,0.318205094213421,0.198195217893513,"CoRD","BOGOTÁ D.C.","2020Q1"
"Decil 3",42.7450980392157,0.212882769177991,0.106807528607245,"CoRD","BOGOTÁ D.C.","2020Q1"
"Decil 4",48.6274509803922,0.170552897123284,0.0605989766161942,"CoRD","BOGOTÁ D.C.","2020Q1"
"Decil 5",48.6274509803922,0.100206672771748,0.0219335041514909,"CoRD","BOGOTÁ D.C.","2020Q1"
"Decil 6",29.8039215686275,0.0194940010540896,0.00155019676917657,"CoRD","BOGOTÁ D.C.","2020Q1"
"Decil 7",0,0,0,"CoRD","BOGOTÁ D.C.","2020Q1"
"Decil 8",0,0,0,"CoRD","BOGOTÁ D.C.","2020Q1"
"Decil 9",0,0,0,"CoRD","BOGOTÁ D.C.","2020Q1"
"Decil 10",0,0,0,"CoRD","BOGOTÁ D.C.","2020Q1"
"Decil 1",57.6666666666667,0.565565336166819,0.555900918337581,"CoCA","BOGOTÁ D.C.","2020Q2"
"Decil 2",44.6666666666667,0.187800597070097,0.102939972522426,"CoCA","BOGOTÁ D.C.","2020Q2"
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q2"
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q2"
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.","2020Q2"
