"deciles","rate","gap","severity","model","ciudad","fecha"
"Decil 9",0,0,0,"CoCA","BOGOTÁ D.C.",18140
"Decil 10",0,0,0,"CoCA","BOGOTÁ D.C.",18140
"Decil 1",94.2084942084942,0.357628420929582,0.198057210646642,"CoNA","BOGOTÁ D.C.",18140
"Decil 2",0,0,0,"CoNA","BOGOTÁ D.C.",18140
"Decil 3",0,0,0,"CoNA","BOGOTÁ D.C.",18140
"Decil 4",0,0,0,"CoNA","BOGOTÁ D.C.",18140
"Decil 5",0,0,0,"CoNA","BOGOTÁ D.C.",18140
"Decil 6",0,0,0,"CoNA","BOGOTÁ D.C.",18140
"Decil 7",0,0,0,"CoNA","BOGOTÁ D.C.",18140
"Decil 8",0,0,0,"CoNA","BOGOTÁ D.C.",18140
"Decil 9",0,0,0,"CoNA","BOGOTÁ D.C.",18140
"Decil 10",0,0,0,"CoNA","BOGOTÁ D.C.",18140
"Decil 1",12.0481927710843,0.0552361749741105,0.0345264811116315,"CoCA","BOGOTÁ D.C.",18170
"Decil 2",0,0,0,"CoCA","BOGOTÁ D.C.",18170
"Decil 3",0,0,0,"CoCA","BOGOTÁ D.C.",18170
"Decil 4",0,0,0,"CoCA","BOGOTÁ D.C.",18170
"Decil 5",0,0,0,"CoCA","BOGOTÁ D.C.",18170
"Decil 6",0,0,0,"CoCA","BOGOTÁ D.C.",18170
"Decil 7",0,0,0,"CoCA","BOGOTÁ D.C.",18170
"Decil 8",0,0,0,"CoCA","BOGOTÁ D.C.",18170
