ciudad,articulo,subclase_ipc,k,apply_D,lambda,sigma2,se2,r2,n_obs,est_ok,v_item,k_city,v_sc,Q_sc,kb,delta,lambda_shrunk,reversion_reason,lambda_final,method_label
BOGOTÁ D.C.,FRÍJOL FRESCO,011716,8,TRUE,0.34745811847016256,0.004786675930051545,0.007609506004660168,0.07282162834758633,203,TRUE,0.007609506004660168,8,0.01571755271415929,5.4265700662548815,8,0.9826215611088497,0.35879827768224515,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,FRÍJOL SECO,011716,8,TRUE,0.13722857594709156,8.942541236048376e-4,0.0014216195586881624,0.06154167934985106,203,TRUE,0.0014216195586881624,8,0.01571755271415929,5.4265700662548815,8,0.9826215611088497,0.15222219641702583,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,ARVEJA FRESCA,011716,8,TRUE,1.8922062974664475,0.01768646955748757,0.028116650942252453,0.3866567511969082,203,TRUE,0.028116650942252453,8,0.01571755271415929,5.4265700662548815,8,0.9826215611088497,1.8767011448476274,none,1.8767011448476274,D_city
BOGOTÁ D.C.,ARVEJA SECA,011716,8,TRUE,0.022375780875198023,6.150539385679322e-4,9.777676005469974e-4,0.0025285402265286835,203,TRUE,9.777676005469974e-4,8,0.01571755271415929,5.4265700662548815,8,0.9826215611088497,0.039365363625766925,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,LENTEJAS,011702,2,TRUE,0.09640781228446471,0.0015089908251569792,0.0015134385459694862,0.029505394191313202,203,TRUE,0.0015134385459694862,2,0.0010960758141396998,1.7419095383842778,2,0.9981498131675357,0.09807962665209358,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,GARBANZO,011702,2,TRUE,0.03800691443039435,6.767184679200859e-4,6.787130823099135e-4,0.010426432184155553,203,TRUE,6.787130823099135e-4,2,0.0010960758141396998,1.7419095383842778,2,0.9992671350974812,0.03871192539927415,low_R2,1,BASE_lowR2
BOGOTÁ D.C.,FRÍJOL TARRO,011703,2,TRUE,1.0184403132690942,6.93217405907583e-5,0.003169292350077346,0.6183436930246288,203,TRUE,0.003169292350077346,2,0.005609417346403467,0.004692909213564322,2,0.09689725001352753,1.0017868156451633,none,1.0017868156451633,D_city
BOGOTÁ D.C.,ARVEJA TARRO,011703,2,TRUE,1.0659762386022573,1.760671545947496e-4,0.008049542342729588,0.4113601118572583,203,TRUE,0.008049542342729588,2,0.005609417346403467,0.004692909213564322,2,0.35096931343164117,1.0231556351650364,none,1.0231556351650364,D_city
BOGOTÁ D.C.,NARANJAS,011605,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
BOGOTÁ D.C.,BANANOS,011606,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
BOGOTÁ D.C.,TOMATE DE ÁRBOL,011607,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
BOGOTÁ D.C.,MORAS,011608,1,FALSE,1,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,1,single_item,1,BASE
BOGOTÁ D.C.,GUAYABAS,011609,9,TRUE,0.2985661825507664,0.00610394690436384,0.01095768613501225,0.038713620919093986,203,TRUE,0.01095768613501225,9,0.012119303850068697,3.1356151474057548,9,0.9729446622234017,0.3175437114097842,low_R2,1,BASE_lowR2
