"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"31 a 50 años",0,1,4597.7677272476,11974.2898558755,3991.4299519585,1456871.93246485,119742.898558755,"MEDELLIN",2008-11-01,1
"31 a 50 años",1,2,3699.34805744199,11974.2898558755,3991.4299519585,1456871.93246485,119742.898558755,"MEDELLIN",2008-11-01,2
"9 a 13 años",1,3,3677.17407118591,11974.2898558755,3991.4299519585,1456871.93246485,119742.898558755,"MEDELLIN",2008-11-01,3
"31 a 50 años",0,1,4496.1908819105,11804.1465613158,3934.71552043861,1436171.16496009,118041.465613158,"MEDELLIN",2008-12-01,1
"31 a 50 años",1,2,3640.23770695664,11804.1465613158,3934.71552043861,1436171.16496009,118041.465613158,"MEDELLIN",2008-12-01,2
"9 a 13 años",1,3,3667.71797244869,11804.1465613158,3934.71552043861,1436171.16496009,118041.465613158,"MEDELLIN",2008-12-01,3
"31 a 50 años",0,1,4493.32709148452,11796.3170716502,3932.10569055006,1435218.57705077,117963.170716502,"MEDELLIN",2009-01-01,1
"31 a 50 años",1,2,3644.48618224187,11796.3170716502,3932.10569055006,1435218.57705077,117963.170716502,"MEDELLIN",2009-01-01,2
"9 a 13 años",1,3,3658.50379792378,11796.3170716502,3932.10569055006,1435218.57705077,117963.170716502,"MEDELLIN",2009-01-01,3
"31 a 50 años",0,1,4439.28606190113,11748.1172972525,3916.03909908417,1429354.27116572,117481.172972525,"MEDELLIN",2009-02-01,1
"31 a 50 años",1,2,3653.62030632358,11748.1172972525,3916.03909908417,1429354.27116572,117481.172972525,"MEDELLIN",2009-02-01,2
"9 a 13 años",1,3,3655.21092902781,11748.1172972525,3916.03909908417,1429354.27116572,117481.172972525,"MEDELLIN",2009-02-01,3
"31 a 50 años",0,1,4420.7070874132,11757.4566324799,3919.15221082663,1430490.55695172,117574.566324799,"MEDELLIN",2009-03-01,1
"31 a 50 años",1,2,3677.2297190657,11757.4566324799,3919.15221082663,1430490.55695172,117574.566324799,"MEDELLIN",2009-03-01,2
"9 a 13 años",1,3,3659.519826001,11757.4566324799,3919.15221082663,1430490.55695172,117574.566324799,"MEDELLIN",2009-03-01,3
"31 a 50 años",0,1,4406.18635713759,11758.7837947776,3919.59459825921,1430652.02836461,117587.837947776,"MEDELLIN",2009-04-01,1
"31 a 50 años",1,2,3693.09425765831,11758.7837947776,3919.59459825921,1430652.02836461,117587.837947776,"MEDELLIN",2009-04-01,2
"9 a 13 años",1,3,3659.50317998172,11758.7837947776,3919.59459825921,1430652.02836461,117587.837947776,"MEDELLIN",2009-04-01,3
"31 a 50 años",0,1,4435.30564864405,11806.4576085139,3935.48586950463,1436452.34236919,118064.576085139,"MEDELLIN",2009-05-01,1
"31 a 50 años",1,2,3701.71171395924,11806.4576085139,3935.48586950463,1436452.34236919,118064.576085139,"MEDELLIN",2009-05-01,2
"9 a 13 años",1,3,3669.4402459106,11806.4576085139,3935.48586950463,1436452.34236919,118064.576085139,"MEDELLIN",2009-05-01,3
"31 a 50 años",0,1,4479.05608513735,11906.3172417624,3968.77241392082,1448601.9310811,119063.172417624,"MEDELLIN",2009-06-01,1
"31 a 50 años",1,2,3740.79491865046,11906.3172417624,3968.77241392082,1448601.9310811,119063.172417624,"MEDELLIN",2009-06-01,2
"9 a 13 años",1,3,3686.46623797464,11906.3172417624,3968.77241392082,1448601.9310811,119063.172417624,"MEDELLIN",2009-06-01,3
"31 a 50 años",0,1,4497.28630450822,11901.3918974315,3967.13063247716,1448002.68085416,119013.918974315,"MEDELLIN",2009-07-01,1
"31 a 50 años",1,2,3742.91954773773,11901.3918974315,3967.13063247716,1448002.68085416,119013.918974315,"MEDELLIN",2009-07-01,2
"9 a 13 años",1,3,3661.18604518553,11901.3918974315,3967.13063247716,1448002.68085416,119013.918974315,"MEDELLIN",2009-07-01,3
"31 a 50 años",0,1,4499.57432143922,11904.5346312765,3968.17821042549,1448385.0468053,119045.346312765,"MEDELLIN",2009-08-01,1
"31 a 50 años",1,2,3741.7760186113,11904.5346312765,3968.17821042549,1448385.0468053,119045.346312765,"MEDELLIN",2009-08-01,2
"9 a 13 años",1,3,3663.18429122594,11904.5346312765,3968.17821042549,1448385.0468053,119045.346312765,"MEDELLIN",2009-08-01,3
"31 a 50 años",0,1,4578.40070799081,11976.1927960751,3992.06426535836,1457103.4568558,119761.927960751,"MEDELLIN",2009-09-01,1
