"Demo_Group","Sex","Person","cost_day","total_household","per_capita","per_capita_year","per_capita_month","ciudad","fecha","person"
"31 a 50 años",0,1,8204.20622581817,19306.8651666852,6435.62172222839,2349001.92861336,193068.651666852,"BOGOTA",2019-12-01,1
"31 a 50 años",1,2,5712.42307944143,19306.8651666852,6435.62172222839,2349001.92861336,193068.651666852,"BOGOTA",2019-12-01,2
"9 a 13 años",1,3,5390.23586142556,19306.8651666852,6435.62172222839,2349001.92861336,193068.651666852,"BOGOTA",2019-12-01,3
"31 a 50 años",0,1,8204.74249455842,19311.4011872508,6437.13372908361,2349553.81111552,193114.011872508,"BOGOTA",2020-01-01,1
"31 a 50 años",1,2,5713.67465582964,19311.4011872508,6437.13372908361,2349553.81111552,193114.011872508,"BOGOTA",2020-01-01,2
"9 a 13 años",1,3,5392.98403686276,19311.4011872508,6437.13372908361,2349553.81111552,193114.011872508,"BOGOTA",2020-01-01,3
"31 a 50 años",0,1,8172.53501261174,19235.0381956059,6411.67939853531,2340262.98046539,192350.381956059,"BOGOTA",2020-02-01,1
"31 a 50 años",1,2,5689.07602094507,19235.0381956059,6411.67939853531,2340262.98046539,192350.381956059,"BOGOTA",2020-02-01,2
"9 a 13 años",1,3,5373.42716204913,19235.0381956059,6411.67939853531,2340262.98046539,192350.381956059,"BOGOTA",2020-02-01,3
"31 a 50 años",0,1,8526.91563643806,20062.6046067913,6687.53486893043,2440950.22715961,200626.046067913,"BOGOTA",2020-03-01,1
"31 a 50 años",1,2,5936.80147008316,20062.6046067913,6687.53486893043,2440950.22715961,200626.046067913,"BOGOTA",2020-03-01,2
"9 a 13 años",1,3,5598.88750027007,20062.6046067913,6687.53486893043,2440950.22715961,200626.046067913,"BOGOTA",2020-03-01,3
"31 a 50 años",0,1,8686.427560894,20447.0938497158,6815.69794990527,2487729.75171542,204470.938497158,"BOGOTA",2020-04-01,1
"31 a 50 años",1,2,6053.48868895701,20447.0938497158,6815.69794990527,2487729.75171542,204470.938497158,"BOGOTA",2020-04-01,2
"9 a 13 años",1,3,5707.17759986479,20447.0938497158,6815.69794990527,2487729.75171542,204470.938497158,"BOGOTA",2020-04-01,3
"31 a 50 años",0,1,8752.73176880772,20599.1515531811,6866.38385106038,2506230.10563704,205991.515531811,"BOGOTA",2020-05-01,1
"31 a 50 años",1,2,6098.15865938222,20599.1515531811,6866.38385106038,2506230.10563704,205991.515531811,"BOGOTA",2020-05-01,2
"9 a 13 años",1,3,5748.26112499119,20599.1515531811,6866.38385106038,2506230.10563704,205991.515531811,"BOGOTA",2020-05-01,3
"31 a 50 años",0,1,8721.44124742722,20518.5661889172,6839.52206297239,2496425.55298492,205185.661889172,"BOGOTA",2020-06-01,1
"31 a 50 años",1,2,6072.77314109371,20518.5661889172,6839.52206297239,2496425.55298492,205185.661889172,"BOGOTA",2020-06-01,2
"9 a 13 años",1,3,5724.35180039623,20518.5661889172,6839.52206297239,2496425.55298492,205185.661889172,"BOGOTA",2020-06-01,3
"31 a 50 años",0,1,8619.91294597516,20274.7473076065,6758.24910253549,2466760.92242545,202747.473076065,"BOGOTA",2020-07-01,1
"31 a 50 años",1,2,5998.38942382706,20274.7473076065,6758.24910253549,2466760.92242545,202747.473076065,"BOGOTA",2020-07-01,2
"9 a 13 años",1,3,5656.44493780425,20274.7473076065,6758.24910253549,2466760.92242545,202747.473076065,"BOGOTA",2020-07-01,3
"31 a 50 años",0,1,8448.68713079767,19874.0253315421,6624.67511051404,2418006.41533763,198740.253315421,"BOGOTA",2020-08-01,1
"31 a 50 años",1,2,5878.02131602884,19874.0253315421,6624.67511051404,2418006.41533763,198740.253315421,"BOGOTA",2020-08-01,2
"9 a 13 años",1,3,5547.31688471561,19874.0253315421,6624.67511051404,2418006.41533763,198740.253315421,"BOGOTA",2020-08-01,3
"31 a 50 años",0,1,8393.40931474148,19751.1470314933,6583.71567716444,2403056.22216502,197511.470314933,"BOGOTA",2020-09-01,1
"31 a 50 años",1,2,5843.00813724111,19751.1470314933,6583.71567716444,2403056.22216502,197511.470314933,"BOGOTA",2020-09-01,2
"9 a 13 años",1,3,5514.72957951074,19751.1470314933,6583.71567716444,2403056.22216502,197511.470314933,"BOGOTA",2020-09-01,3
"31 a 50 años",0,1,8335.5720163465,19620.3367924757,6540.11226415856,2387140.97641787,196203.367924757,"BOGOTA",2020-10-01,1
"31 a 50 años",1,2,5805.12209872106,19620.3367924757,6540.11226415856,2387140.97641787,196203.367924757,"BOGOTA",2020-10-01,2
"9 a 13 años",1,3,5479.64267740811,19620.3367924757,6540.11226415856,2387140.97641787,196203.367924757,"BOGOTA",2020-10-01,3
"31 a 50 años",0,1,8300.59024814975,19546.1538919814,6515.38463066045,2378115.39019106,195461.538919814,"BOGOTA",2020-11-01,1
"31 a 50 años",1,2,5784.09507573749,19546.1538919814,6515.38463066045,2378115.39019106,195461.538919814,"BOGOTA",2020-11-01,2
"9 a 13 años",1,3,5461.46856809411,19546.1538919814,6515.38463066045,2378115.39019106,195461.538919814,"BOGOTA",2020-11-01,3
"31 a 50 años",0,1,8317.43329693703,19601.0540903215,6533.68469677382,2384794.91432244,196010.540903215,"BOGOTA",2020-12-01,1
"31 a 50 años",1,2,5803.82140105669,19601.0540903215,6533.68469677382,2384794.91432244,196010.540903215,"BOGOTA",2020-12-01,2
"9 a 13 años",1,3,5479.79939232774,19601.0540903215,6533.68469677382,2384794.91432244,196010.540903215,"BOGOTA",2020-12-01,3
"31 a 50 años",0,1,8411.82285632802,19823.9920054529,6607.99733515096,2411919.0273301,198239.920054529,"BOGOTA",2021-01-01,1
"31 a 50 años",1,2,5870.01061049095,19823.9920054529,6607.99733515096,2411919.0273301,198239.920054529,"BOGOTA",2021-01-01,2
"9 a 13 años",1,3,5542.15853863392,19823.9920054529,6607.99733515096,2411919.0273301,198239.920054529,"BOGOTA",2021-01-01,3
"31 a 50 años",0,1,8463.70230858307,19943.1054549442,6647.70181831475,2426411.16368488,199431.054549442,"BOGOTA",2021-02-01,1
"31 a 50 años",1,2,5905.13385660879,19943.1054549442,6647.70181831475,2426411.16368488,199431.054549442,"BOGOTA",2021-02-01,2
"9 a 13 años",1,3,5574.26928975238,19943.1054549442,6647.70181831475,2426411.16368488,199431.054549442,"BOGOTA",2021-02-01,3
"31 a 50 años",0,1,8521.70634001168,20077.2854105909,6692.42847019695,2442736.39162189,200772.854105909,"BOGOTA",2021-03-01,1
"31 a 50 años",1,2,5943.98253649391,20077.2854105909,6692.42847019695,2442736.39162189,200772.854105909,"BOGOTA",2021-03-01,2
"9 a 13 años",1,3,5611.59653408526,20077.2854105909,6692.42847019695,2442736.39162189,200772.854105909,"BOGOTA",2021-03-01,3
"31 a 50 años",0,1,8855.769704718,20862.1387463607,6954.04624878691,2538226.88080722,208621.387463607,"BOGOTA",2021-04-01,1
"31 a 50 años",1,2,6181.19891957325,20862.1387463607,6954.04624878691,2538226.88080722,208621.387463607,"BOGOTA",2021-04-01,2
"9 a 13 años",1,3,5825.17012206948,20862.1387463607,6954.04624878691,2538226.88080722,208621.387463607,"BOGOTA",2021-04-01,3
"31 a 50 años",0,1,9465.17536183593,22301.7414004814,7433.91380016048,2713378.53705858,223017.414004814,"BOGOTA",2021-05-01,1
"31 a 50 años",1,2,6614.59568309824,22301.7414004814,7433.91380016048,2713378.53705858,223017.414004814,"BOGOTA",2021-05-01,2
"9 a 13 años",1,3,6221.97035554728,22301.7414004814,7433.91380016048,2713378.53705858,223017.414004814,"BOGOTA",2021-05-01,3
"31 a 50 años",0,1,9303.57705119453,21968.5641927914,7322.85473093045,2672841.97678962,219685.641927914,"BOGOTA",2021-06-01,1
"31 a 50 años",1,2,6521.56080269218,21968.5641927914,7322.85473093045,2672841.97678962,219685.641927914,"BOGOTA",2021-06-01,2
"9 a 13 años",1,3,6143.42633890465,21968.5641927914,7322.85473093045,2672841.97678962,219685.641927914,"BOGOTA",2021-06-01,3
"31 a 50 años",0,1,9220.95732883178,21793.1175230354,7264.37250767847,2651495.96530264,217931.175230354,"BOGOTA",2021-07-01,1
"31 a 50 años",1,2,6469.99149344213,21793.1175230354,7264.37250767847,2651495.96530264,217931.175230354,"BOGOTA",2021-07-01,2
"9 a 13 años",1,3,6102.1687007615,21793.1175230354,7264.37250767847,2651495.96530264,217931.175230354,"BOGOTA",2021-07-01,3
"31 a 50 años",0,1,9228.38527245066,21795.9742612801,7265.32475376002,2651843.53512241,217959.742612801,"BOGOTA",2021-08-01,1
"31 a 50 años",1,2,6467.82035637102,21795.9742612801,7265.32475376002,2651843.53512241,217959.742612801,"BOGOTA",2021-08-01,2
"9 a 13 años",1,3,6099.76863245838,21795.9742612801,7265.32475376002,2651843.53512241,217959.742612801,"BOGOTA",2021-08-01,3
"31 a 50 años",0,1,9275.7672881818,21880.0545049427,7293.35150164756,2662073.29810136,218800.545049427,"BOGOTA",2021-09-01,1
