"ciudad","trimestre","fecha","Demo_Group","Sex","person","cost_day","total_household","per_capita","per_capita_year","per_capita_month"
"MEDELLIN","2010Q4",2010-10-01,"31 a 50 años",1,2,1320.37737079568,4408.35338823661,1469.4511294122,536349.662235454,44083.5338823661
"MEDELLIN","2010Q4",2010-10-01,"9 a 13 años",1,3,1247.84438808402,4408.35338823661,1469.4511294122,536349.662235454,44083.5338823661
"MEDELLIN","2011Q1",2011-01-01,"31 a 50 años",0,1,1831.02338508004,4386.53301469471,1462.1776715649,533694.85012119,43865.3301469471
"MEDELLIN","2011Q1",2011-01-01,"31 a 50 años",1,2,1313.84179505806,4386.53301469471,1462.1776715649,533694.85012119,43865.3301469471
"MEDELLIN","2011Q1",2011-01-01,"9 a 13 años",1,3,1241.66783455662,4386.53301469471,1462.1776715649,533694.85012119,43865.3301469471
"MEDELLIN","2011Q2",2011-04-01,"31 a 50 años",0,1,1843.8342396751,4417.2236312568,1472.4078770856,537428.875136245,44172.236312568
"MEDELLIN","2011Q2",2011-04-01,"31 a 50 años",1,2,1323.03416055954,4417.2236312568,1472.4078770856,537428.875136245,44172.236312568
"MEDELLIN","2011Q2",2011-04-01,"9 a 13 años",1,3,1250.35523102216,4417.2236312568,1472.4078770856,537428.875136245,44172.236312568
"MEDELLIN","2011Q3",2011-07-01,"31 a 50 años",0,1,1858.39845145934,4452.11471803654,1484.03823934551,541673.957361113,44521.1471803654
"MEDELLIN","2011Q3",2011-07-01,"31 a 50 años",1,2,1333.48463886043,4452.11471803654,1484.03823934551,541673.957361113,44521.1471803654
"MEDELLIN","2011Q3",2011-07-01,"9 a 13 años",1,3,1260.23162771677,4452.11471803654,1484.03823934551,541673.957361113,44521.1471803654
"MEDELLIN","2011Q4",2011-10-01,"31 a 50 años",0,1,1844.9690690849,4419.9423112653,1473.3141037551,537759.647870611,44199.423112653
"MEDELLIN","2011Q4",2011-10-01,"31 a 50 años",1,2,1323.84845180289,4419.9423112653,1473.3141037551,537759.647870611,44199.423112653
"MEDELLIN","2011Q4",2011-10-01,"9 a 13 años",1,3,1251.12479037751,4419.9423112653,1473.3141037551,537759.647870611,44199.423112653
"MEDELLIN","2012Q1",2012-01-01,"31 a 50 años",0,1,1834.99369614796,4396.04458113344,1465.34819371115,534852.090704568,43960.4458113344
"MEDELLIN","2012Q1",2012-01-01,"31 a 50 años",1,2,1316.69067217395,4396.04458113344,1465.34819371115,534852.090704568,43960.4458113344
"MEDELLIN","2012Q1",2012-01-01,"9 a 13 años",1,3,1244.36021281153,4396.04458113344,1465.34819371115,534852.090704568,43960.4458113344
"MEDELLIN","2012Q2",2012-04-01,"31 a 50 años",0,1,1826.48349274403,4375.65691787514,1458.55230595838,532371.591674809,43756.5691787514
"MEDELLIN","2012Q2",2012-04-01,"31 a 50 años",1,2,1310.58421771377,4375.65691787514,1458.55230595838,532371.591674809,43756.5691787514
"MEDELLIN","2012Q2",2012-04-01,"9 a 13 años",1,3,1238.58920741734,4375.65691787514,1458.55230595838,532371.591674809,43756.5691787514
"MEDELLIN","2012Q3",2012-07-01,"31 a 50 años",0,1,1822.64314772556,4366.45670757274,1455.48556919091,531252.232754683,43664.5670757274
"MEDELLIN","2012Q3",2012-07-01,"31 a 50 años",1,2,1307.82859709536,4366.45670757274,1455.48556919091,531252.232754683,43664.5670757274
"MEDELLIN","2012Q3",2012-07-01,"9 a 13 años",1,3,1235.98496275182,4366.45670757274,1455.48556919091,531252.232754683,43664.5670757274
"MEDELLIN","2012Q4",2012-10-01,"31 a 50 años",0,1,1816.34679945576,4351.37271695714,1450.45757231905,529417.013896452,43513.7271695714
"MEDELLIN","2012Q4",2012-10-01,"31 a 50 años",1,2,1303.31068346274,4351.37271695714,1450.45757231905,529417.013896452,43513.7271695714
"MEDELLIN","2012Q4",2012-10-01,"9 a 13 años",1,3,1231.71523403864,4351.37271695714,1450.45757231905,529417.013896452,43513.7271695714
"MEDELLIN","2013Q1",2013-01-01,"31 a 50 años",0,1,1807.54575385808,4330.2882909511,1443.42943031703,526851.742065717,43302.882909511
"MEDELLIN","2013Q1",2013-01-01,"31 a 50 años",1,2,1296.99553662154,4330.2882909511,1443.42943031703,526851.742065717,43302.882909511
"MEDELLIN","2013Q1",2013-01-01,"9 a 13 años",1,3,1225.74700047147,4330.2882909511,1443.42943031703,526851.742065717,43302.882909511
"MEDELLIN","2013Q2",2013-04-01,"31 a 50 años",0,1,1818.15689519,4355.70911416685,1451.90303805562,529944.6088903,43557.0911416685
"MEDELLIN","2013Q2",2013-04-01,"31 a 50 años",1,2,1304.6095087252,4355.70911416685,1451.90303805562,529944.6088903,43557.0911416685
"MEDELLIN","2013Q2",2013-04-01,"9 a 13 años",1,3,1232.94271025166,4355.70911416685,1451.90303805562,529944.6088903,43557.0911416685
"MEDELLIN","2013Q3",2013-07-01,"31 a 50 años",0,1,1825.7261709028,4373.8426225,1457.94754083333,532150.852404167,43738.426225
"MEDELLIN","2013Q3",2013-07-01,"31 a 50 años",1,2,1310.04080516348,4373.8426225,1457.94754083333,532150.852404167,43738.426225
"MEDELLIN","2013Q3",2013-07-01,"9 a 13 años",1,3,1238.07564643372,4373.8426225,1457.94754083333,532150.852404167,43738.426225
"MEDELLIN","2013Q4",2013-10-01,"31 a 50 años",0,1,1839.03685456286,4405.73066598366,1468.57688866122,536030.564361345,44057.3066598366
"MEDELLIN","2013Q4",2013-10-01,"31 a 50 años",1,2,1319.59182054422,4405.73066598366,1468.57688866122,536030.564361345,44057.3066598366
"MEDELLIN","2013Q4",2013-10-01,"9 a 13 años",1,3,1247.10199087658,4405.73066598366,1468.57688866122,536030.564361345,44057.3066598366
"MEDELLIN","2014Q1",2014-01-01,"31 a 50 años",0,1,1831.90088319196,4388.63521309898,1462.87840436633,533950.617593709,43886.3521309898
