alimento_sipsa,fecha,sample,obs_level,fit_level,lwr_level,upr_level,mape_food
"Carne de cerdo, costilla",2018-02-01,test,6223.7999999999975,5251.57915144023,4999.307291777833,5516.580992970753,12.572557483737556
"Carne de cerdo, costilla",2018-03-01,test,6302.8700000000035,5271.759991859172,5021.828836840083,5534.129958370788,12.572557483737556
"Carne de cerdo, espinazo",2013-01-01,train,4875.87,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2013-02-01,train,4873.680000000002,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2013-03-01,train,4870.430000000003,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2013-04-01,train,4880.169999999996,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2013-05-01,train,4878.439999999998,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2013-06-01,train,4894.020000000003,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2013-07-01,train,4921.26,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2013-08-01,train,4998.359999999999,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2013-09-01,train,5041,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2013-10-01,train,5091.760000000004,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2013-11-01,train,5123.68,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2013-12-01,train,5121.689999999995,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2014-01-01,train,5155.789999999999,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2014-02-01,train,5147.74,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2014-03-01,train,5179.599999999996,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2014-04-01,train,5244.760000000001,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2014-05-01,train,5319.799999999999,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2014-06-01,train,5333.409999999996,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2014-07-01,train,5292.840000000004,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2014-08-01,train,5316.899999999996,NA,NA,NA,17.750628829036494
"Carne de cerdo, espinazo",2014-09-01,train,5334.630000000005,NA,NA,NA,17.750628829036494
