deciles,rate,gap,severity,model,ciudad,fecha,year,mes
Decil 4,0,0,0,CoCA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 5,0,0,0,CoCA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 6,0,0,0,CoCA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 7,0,0,0,CoCA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 8,0,0,0,CoCA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 9,0,0,0,CoCA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 1,78.13294104054724,0.2518053129588321,0.14217184928776755,CoNA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 10,0,0,0,CoNA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 2,0,0,0,CoNA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 3,0,0,0,CoNA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 4,0,0,0,CoNA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 5,0,0,0,CoNA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 6,0,0,0,CoNA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 7,0,0,0,CoNA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 8,0,0,0,CoNA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 9,0,0,0,CoNA,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 1,100,0.49364578829046696,0.2819087556884923,CoRD,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 10,0,0,0,CoRD,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 2,80.82121302176616,0.11606726748441558,0.021881646707912566,CoRD,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 3,3.5359598252720144,1.531148800545733e-4,6.68597492324832e-7,CoRD,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 4,0,0,0,CoRD,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 5,0,0,0,CoRD,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 6,0,0,0,CoRD,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 7,0,0,0,CoRD,BOGOTÁ D.C.,2019-08-01,2019,08
Decil 8,0,0,0,CoRD,BOGOTÁ D.C.,2019-08-01,2019,08
