alimento_sipsa,n_test,RMSE,MAPE,method
Mora de Castilla,19,851.5547192933914,29.04629471340558,M3 (ECM)
Naranja Sweet,16,NA,NA,M3 (ECM)
Naranja Valencia,16,NA,NA,M3 (ECM)
Panela redonda morena,19,205843414613.4184,2276258133.2836995,M3 (ECM)
Papa Betina,16,NA,NA,M3 (ECM)
Papa capira,19,643.0454093748398,93.05991297161846,M3 (ECM)
Papa criolla limpia,19,437.511577732862,21.159598257384236,M3 (ECM)
Papa criolla sucia,19,11876.845453383448,247.99672908264907,M3 (ECM)
Papa nevada,16,NA,NA,M3 (ECM)
Papa parda pastusa,19,641.2244071923262,92.683411247087,M3 (ECM)
Papa suprema,19,642.0077181908953,92.71794226665456,M3 (ECM)
Papa única,19,645.1303983284706,93.84557294262,M3 (ECM)
Pastas alimenticias,19,2176.669006023024,62.439691086794,M3 (ECM)
Pechuga de pollo,19,294.7239218726855,5.498497091833504,M3 (ECM)
Piña gold,19,496.0890574251647,60.1432247734698,M3 (ECM)
Piña manzana,19,Inf,Inf,M3 (ECM)
Pollo entero congelado sin vísceras,19,4092846428974567e3,24153514473039180,M3 (ECM)
Queso campesino,19,145.8127287262392,1.4388669034909505,M3 (ECM)
Repollo blanco,19,222.024861989939,21.17032579555091,M3 (ECM)
Sal yodada,19,1254.2310562264452,144.29098498626846,M3 (ECM)
Tilapia roja entera congelada,19,8575.946076487086,47.53256536933347,M3 (ECM)
Tomate de árbol,19,7408668041879875e50,1594462387503752e49,M3 (ECM)
Tomate larga vida,19,Inf,Inf,M3 (ECM)
Zanahoria,19,911.2173230152808,65.74437554697205,M3 (ECM)
