ciudad,fecha,model,escenario,n_deciles,sum_rate,incidence
MEDELLÍN,2022-03-01,CoCA,q2,10,21.551724137931032,2.155172413793103
MEDELLÍN,2022-03-01,CoCA,q3,10,21.551724137931032,2.155172413793103
MEDELLÍN,2022-03-01,CoNA,q1,10,69.92705570291778,6.992705570291779
MEDELLÍN,2022-03-01,CoNA,q2,10,77.3209549071618,7.732095490716181
MEDELLÍN,2022-03-01,CoNA,q3,10,91.14721485411141,9.114721485411142
MEDELLÍN,2022-04-01,CoCA,q1,10,20.5607476635514,2.05607476635514
MEDELLÍN,2022-04-01,CoCA,q2,10,21.49532710280374,2.149532710280374
MEDELLÍN,2022-04-01,CoCA,q3,10,24.299065420560748,2.429906542056075
MEDELLÍN,2022-04-01,CoNA,q1,10,84.43257676902536,8.443257676902537
MEDELLÍN,2022-04-01,CoNA,q2,10,96.72452158433467,9.672452158433467
MEDELLÍN,2022-04-01,CoNA,q3,10,117.40987983978638,11.74098798397864
MEDELLÍN,2022-05-01,CoCA,q1,10,21.153846153846153,2.1153846153846154
MEDELLÍN,2022-05-01,CoCA,q2,10,22.115384615384613,2.2115384615384612
MEDELLÍN,2022-05-01,CoCA,q3,10,22.115384615384613,2.2115384615384612
MEDELLÍN,2022-05-01,CoNA,q1,10,77.45290423861853,7.745290423861853
MEDELLÍN,2022-05-01,CoNA,q2,10,81.41679748822607,8.141679748822607
MEDELLÍN,2022-05-01,CoNA,q3,10,94.32888540031396,9.432888540031398
MEDELLÍN,2022-06-01,CoCA,q1,10,14.432989690721648,1.443298969072165
MEDELLÍN,2022-06-01,CoCA,q2,10,14.432989690721648,1.443298969072165
MEDELLÍN,2022-06-01,CoCA,q3,10,15.463917525773196,1.5463917525773196
MEDELLÍN,2022-06-01,CoNA,q1,10,57.73195876288659,5.77319587628866
MEDELLÍN,2022-06-01,CoNA,q2,10,62.88659793814433,6.288659793814433
MEDELLÍN,2022-06-01,CoNA,q3,10,80.72265038534681,8.072265038534681
MEDELLÍN,2022-07-01,CoCA,q1,10,17.21311475409836,1.721311475409836
MEDELLÍN,2022-07-01,CoCA,q2,10,17.21311475409836,1.721311475409836
MEDELLÍN,2022-07-01,CoCA,q3,10,17.21311475409836,1.721311475409836
MEDELLÍN,2022-07-01,CoNA,q1,10,80.99288586452211,8.09928858645221
MEDELLÍN,2022-07-01,CoNA,q2,10,89.68450355706774,8.968450355706775
MEDELLÍN,2022-07-01,CoNA,q3,10,108.95453139498917,10.895453139498919
MEDELLÍN,2022-08-01,CoCA,q1,10,14.655172413793101,1.4655172413793103
MEDELLÍN,2022-08-01,CoCA,q2,10,15.517241379310345,1.5517241379310347
MEDELLÍN,2022-08-01,CoCA,q3,10,15.517241379310345,1.5517241379310347
MEDELLÍN,2022-08-01,CoNA,q1,10,62.06896551724138,6.206896551724139
MEDELLÍN,2022-08-01,CoNA,q2,10,71.9867869803416,7.198678698034161
MEDELLÍN,2022-08-01,CoNA,q3,10,91.89494038027715,9.189494038027716
MEDELLÍN,2022-09-01,CoCA,q1,10,12.5,1.25
MEDELLÍN,2022-09-01,CoCA,q2,10,13.392857142857142,1.3392857142857144
MEDELLÍN,2022-09-01,CoCA,q3,10,13.392857142857142,1.3392857142857144
MEDELLÍN,2022-09-01,CoNA,q1,10,60.71428571428571,6.071428571428571
MEDELLÍN,2022-09-01,CoNA,q2,10,65.17857142857143,6.517857142857143
MEDELLÍN,2022-09-01,CoNA,q3,10,76.12433862433862,7.612433862433862
MEDELLÍN,2022-10-01,CoCA,q1,10,18.34862385321101,1.834862385321101
MEDELLÍN,2022-10-01,CoCA,q2,10,18.34862385321101,1.834862385321101
MEDELLÍN,2022-10-01,CoCA,q3,10,18.34862385321101,1.834862385321101
MEDELLÍN,2022-10-01,CoNA,q1,10,55.04587155963303,5.5045871559633035
MEDELLÍN,2022-10-01,CoNA,q2,10,69.82670744138635,6.982670744138635
MEDELLÍN,2022-10-01,CoNA,q3,10,84.58205912334353,8.458205912334353
MEDELLÍN,2022-11-01,CoCA,q1,10,19.35483870967742,1.935483870967742
MEDELLÍN,2022-11-01,CoCA,q2,10,19.35483870967742,1.935483870967742
MEDELLÍN,2022-11-01,CoCA,q3,10,19.35483870967742,1.935483870967742
MEDELLÍN,2022-11-01,CoNA,q1,10,99.66044142614601,9.966044142614601
MEDELLÍN,2022-11-01,CoNA,q2,10,111.28466327108092,11.128466327108093
MEDELLÍN,2022-11-01,CoNA,q3,10,129.33786078098473,12.933786078098473
MEDELLÍN,2022-12-01,CoCA,q1,10,15.315315315315313,1.5315315315315314
MEDELLÍN,2022-12-01,CoCA,q2,10,16.216216216216218,1.621621621621622
MEDELLÍN,2022-12-01,CoCA,q3,10,16.216216216216218,1.621621621621622
MEDELLÍN,2022-12-01,CoNA,q1,10,112.11331813741452,11.211331813741452
MEDELLÍN,2022-12-01,CoNA,q2,10,125.05155758167807,12.505155758167808
MEDELLÍN,2022-12-01,CoNA,q3,10,157.85303375664822,15.785303375664823
MEDELLÍN,2023-01-01,CoCA,q1,10,24.752475247524753,2.4752475247524757
MEDELLÍN,2023-01-01,CoCA,q2,10,25.742574257425744,2.5742574257425748
MEDELLÍN,2023-01-01,CoCA,q3,10,25.742574257425744,2.5742574257425748
MEDELLÍN,2023-01-01,CoNA,q1,10,157.69230769230768,15.769230769230768
MEDELLÍN,2023-01-01,CoNA,q2,10,168.26923076923077,16.826923076923077
MEDELLÍN,2023-01-01,CoNA,q3,10,182.69230769230768,18.26923076923077
MEDELLÍN,2023-03-01,CoCA,q1,10,18.269230769230766,1.8269230769230766
MEDELLÍN,2023-03-01,CoCA,q2,10,19.230769230769234,1.9230769230769234
MEDELLÍN,2023-03-01,CoCA,q3,10,20.192307692307693,2.0192307692307696
MEDELLÍN,2023-03-01,CoNA,q1,10,125.89863407620416,12.589863407620417
MEDELLÍN,2023-03-01,CoNA,q2,10,144.75197699496766,14.475197699496768
MEDELLÍN,2023-03-01,CoNA,q3,10,158.87850467289718,15.887850467289718
MEDELLÍN,2023-04-01,CoCA,q1,10,25.471698113207548,2.547169811320755
MEDELLÍN,2023-04-01,CoCA,q2,10,25.471698113207548,2.547169811320755
MEDELLÍN,2023-04-01,CoCA,q3,10,25.471698113207548,2.547169811320755
MEDELLÍN,2023-04-01,CoNA,q1,10,94.1470927993839,9.414709279938391
MEDELLÍN,2023-04-01,CoNA,q2,10,124.77859068155564,12.477859068155565
MEDELLÍN,2023-04-01,CoNA,q3,10,142.45283018867923,14.245283018867923
MEDELLÍN,2023-05-01,CoCA,q1,10,19.19191919191919,1.9191919191919191
MEDELLÍN,2023-05-01,CoCA,q2,10,19.19191919191919,1.9191919191919191
MEDELLÍN,2023-05-01,CoCA,q3,10,19.19191919191919,1.9191919191919191
MEDELLÍN,2023-05-01,CoNA,q1,10,101.13636363636364,10.113636363636365
MEDELLÍN,2023-05-01,CoNA,q2,10,119.69696969696969,11.969696969696969
MEDELLÍN,2023-05-01,CoNA,q3,10,145.58080808080808,14.55808080808081
MEDELLÍN,2023-06-01,CoCA,q1,10,14.953271028037381,1.4953271028037383
MEDELLÍN,2023-06-01,CoCA,q2,10,14.953271028037381,1.4953271028037383
MEDELLÍN,2023-06-01,CoCA,q3,10,15.887850467289718,1.588785046728972
MEDELLÍN,2023-06-01,CoNA,q1,10,70.23089609675645,7.023089609675646
MEDELLÍN,2023-06-01,CoNA,q2,10,85.59648158328751,8.559648158328752
MEDELLÍN,2023-06-01,CoNA,q3,10,104.83782297965915,10.483782297965917
MEDELLÍN,2023-07-01,CoCA,q1,10,14.85148514851485,1.4851485148514851
