codigo_tcac,alimento_sipsa,parte_comestible_percent,energia_kcal,proteina_g,lipidos_g,carbohidratos_totales_g,vitamina_c_mg,folatos_mcg,vitamina_a_er,tiamina_mg,riboflavina_mg,niacina_mg,vitamina_b12_mcg,magnesio_mg,fosforo_mg,sodio_mg,calcio_mg,hierro_mg,zinc_mg
SCT0002,Fríjol enlatado,100,66.67,5,0,11.67,0.6,26.12,0,0.1,0.042,0.254,0,39,83.88,218.65,20,2.1,1
T015,Fríjol nima calima,100,370,19.4,1.2,61.1,2,394,2,0.38,0.12,4,0,210,344,12,155,8,2.9
SCT0034,Fríjol palomito importado,100,341,19,1,64,0,463,0,0.77,0.21,1.9,0,182,443,8,137,6.8,2.5
T016,Fríjol radical,100,392,22.9,1.3,59.7,2,604,0,0.69,0.2,1.5,0,156,418,6,120,5.3,3.5
T012,Fríjol Uribe rosado,100,370,21,1.2,62.4,0,463,0,0.77,0.21,1.9,0,182,443,8,137,6.8,2.5
B046,Fríjol verde bolo,50,166,10.5,0.4,29,16,521,4,0.39,0.08,1.4,0,147,220,0.95,67,3.3,2.83
B046,Fríjol verde cargamanto,50,166,10.5,0.4,29,16,521,4,0.39,0.08,1.4,0,147,220,0.95,67,3.3,2.83
B046,Fríjol verde en vaina,50,166,10.5,0.4,29,16,521,4,0.39,0.08,1.4,0,147,220,0.95,67,3.3,2.83
SCT0034,Fríjol Zaragoza,100,341,19,1,64,0,463,0,0.77,0.21,1.9,0,182,443,8,137,6.8,2.5
A025,Galletas dulces redondas con crema,100,455,5.4,15.2,73.2,0,60,8,0.27,0.32,3.1,0.13,14,104,388,48,3,0.4
A027,Galletas saladas,100,424,9.6,9.7,72.9,0,134,1,0.12,0.37,6.2,0.06,23,145,944,38,5.6,0.7
T019,Garbanzo importado,100,393,19.9,5.5,58.8,4,557,3,0.48,0.22,1.4,0,127,300,30,120,6.4,3.1
K018,Gelatina,100,392,8.3,0,89.8,0,0,0,0,0,0,0,2,0,268,0,0,0
C028,Granadilla,30,95,2.1,1.6,14.9,0,14,28,0.02,0.35,2.1,0,25,50,20,12,0.9,0.8
C030,Guanábana,70,33,0.6,0.2,6.8,0,14,1,0.03,0.06,1.1,0,5,12,9,11,0.2,15.7
SCC0006,Guayaba agria,80,75,0.75,0.65,18.75,32.85,49,31.5,0.1,0.067,0.93,0,18,30.25,2.25,35.5,0.35,0.23
C032,Guayaba Atlántico,75,78,0.9,0.4,15.1,214,49,31,0.04,0.04,1.1,0,14,26,3,16,0.3,0.2
C031,Guayaba común,75,71,0.9,0.3,13.4,217,49,31,0.04,0.04,1.5,0,12,33,3,13,0.3,0.3
C031,Guayaba manzana,75,71,0.9,0.3,13.4,217,49,31,0.04,0.04,1.5,0,12,33,3,13,0.3,0.3
C032,Guayaba pera,75,78,0.9,0.4,15.1,214,49,31,0.04,0.04,1.1,0,14,26,3,16,0.3,0.2
C031,Guayaba pera valluna,75,71,0.9,0.3,13.4,217,49,31,0.04,0.04,1.5,0,12,33,3,13,0.3,0.3
C033,Gulupa,56,74,0.9,0.1,17.2,30,7,36,0,0.13,1.5,0,17,13,7,4,0.2,0.1
