Demo_Group,Sex,Person,cost_day,total_household,per_capita,per_capita_year,per_capita_month,ciudad,fecha,escenario
9 a 13 años,1,3,1484.0899554561736,5242.955809280465,1747.6519364268215,637892.9567957899,52429.55809280465,CALI,2021-07-01,q3
31 a 50 años,0,1,1997.8478313788148,4786.1898117135925,1595.3966039045308,582319.7604251538,47861.89811713593,CALI,2021-08-01,q1
31 a 50 años,1,2,1433.5458533299152,4786.1898117135925,1595.3966039045308,582319.7604251538,47861.89811713593,CALI,2021-08-01,q1
9 a 13 años,1,3,1354.7961270048627,4786.1898117135925,1595.3966039045308,582319.7604251538,47861.89811713593,CALI,2021-08-01,q1
31 a 50 años,0,1,2132.987316000685,5109.939806231959,1703.3132687439863,621709.343091555,51099.39806231959,CALI,2021-08-01,q2
31 a 50 años,1,2,1530.5145236951262,5109.939806231959,1703.3132687439863,621709.343091555,51099.39806231959,CALI,2021-08-01,q2
9 a 13 años,1,3,1446.4379665361475,5109.939806231959,1703.3132687439863,621709.343091555,51099.39806231959,CALI,2021-08-01,q2
31 a 50 años,0,1,2208.313987771628,5290.397868812011,1763.4659562706704,643665.0740387947,52903.978688120114,CALI,2021-08-01,q3
31 a 50 años,1,2,1584.5648053363727,5290.397868812011,1763.4659562706704,643665.0740387947,52903.978688120114,CALI,2021-08-01,q3
9 a 13 años,1,3,1497.5190757040107,5290.397868812011,1763.4659562706704,643665.0740387947,52903.978688120114,CALI,2021-08-01,q3
31 a 50 años,0,1,2035.0291466878157,4875.264079394547,1625.0880264648488,593157.1296596698,48752.640793945466,CALI,2021-09-01,q1
31 a 50 años,1,2,1460.225122664349,4875.264079394547,1625.0880264648488,593157.1296596698,48752.640793945466,CALI,2021-09-01,q1
9 a 13 años,1,3,1380.009810042382,4875.264079394547,1625.0880264648488,593157.1296596698,48752.640793945466,CALI,2021-09-01,q1
31 a 50 años,0,1,2178.7873193981886,5219.661630984895,1739.8872103282984,635058.8317698289,52196.61630984895,CALI,2021-09-01,q2
31 a 50 años,1,2,1563.3780901398611,5219.661630984895,1739.8872103282984,635058.8317698289,52196.61630984895,CALI,2021-09-01,q2
9 a 13 años,1,3,1477.496221446845,5219.661630984895,1739.8872103282984,635058.8317698289,52196.61630984895,CALI,2021-09-01,q2
31 a 50 años,0,1,2260.5590334625367,5415.559906416129,1805.186635472043,658893.1219472957,54155.59906416129,CALI,2021-09-01,q3
31 a 50 años,1,2,1622.0529800766608,5415.559906416129,1805.186635472043,658893.1219472957,54155.59906416129,CALI,2021-09-01,q3
9 a 13 años,1,3,1532.9478928769308,5415.559906416129,1805.186635472043,658893.1219472957,54155.59906416129,CALI,2021-09-01,q3
31 a 50 años,0,1,2029.987473897046,4863.185880761911,1621.0619602539703,591687.6154926991,48631.85880761911,CALI,2021-10-01,q1
31 a 50 años,1,2,1456.6074952306994,4863.185880761911,1621.0619602539703,591687.6154926991,48631.85880761911,CALI,2021-10-01,q1
9 a 13 años,1,3,1376.5909116341654,4863.185880761911,1621.0619602539703,591687.6154926991,48631.85880761911,CALI,2021-10-01,q1
31 a 50 años,0,1,2097.594068215381,5025.1491633747555,1675.0497211249185,611393.1482105952,50251.49163374756,CALI,2021-10-01,q2
31 a 50 años,1,2,1505.1182733893734,5025.1491633747555,1675.0497211249185,611393.1482105952,50251.49163374756,CALI,2021-10-01,q2
9 a 13 años,1,3,1422.4368217700016,5025.1491633747555,1675.0497211249185,611393.1482105952,50251.49163374756,CALI,2021-10-01,q2
31 a 50 años,0,1,2176.760403291961,5214.805803096277,1738.2686010320922,634468.0393767137,52148.05803096277,CALI,2021-10-01,q3
31 a 50 años,1,2,1561.9236864893467,5214.805803096277,1738.2686010320922,634468.0393767137,52148.05803096277,CALI,2021-10-01,q3
9 a 13 años,1,3,1476.1217133149692,5214.805803096277,1738.2686010320922,634468.0393767137,52148.05803096277,CALI,2021-10-01,q3
31 a 50 años,0,1,2005.1738901062674,4803.740651717833,1601.2468839059445,584455.1126256698,48037.40651717834,CALI,2021-11-01,q1
31 a 50 años,1,2,1438.8026306204777,4803.740651717833,1601.2468839059445,584455.1126256698,48037.40651717834,CALI,2021-11-01,q1
9 a 13 años,1,3,1359.7641309910887,4803.740651717833,1601.2468839059445,584455.1126256698,48037.40651717834,CALI,2021-11-01,q1
31 a 50 años,0,1,2071.9540941556133,4963.72417359825,1654.57472453275,603919.7744544537,49637.2417359825,CALI,2021-11-01,q2
31 a 50 años,1,2,1486.7204365193359,4963.72417359825,1654.57472453275,603919.7744544537,49637.2417359825,CALI,2021-11-01,q2
9 a 13 años,1,3,1405.0496429233003,4963.72417359825,1654.57472453275,603919.7744544537,49637.2417359825,CALI,2021-11-01,q2
31 a 50 años,0,1,2150.152738295137,5151.062542412906,1717.0208474709686,626712.6093269036,51510.62542412906,CALI,2021-11-01,q3
31 a 50 años,1,2,1542.8314877623473,5151.062542412906,1717.0208474709686,626712.6093269036,51510.62542412906,CALI,2021-11-01,q3
9 a 13 años,1,3,1458.078316355421,5151.062542412906,1717.0208474709686,626712.6093269036,51510.62542412906,CALI,2021-11-01,q3
31 a 50 años,0,1,2081.387040319143,4986.322426634953,1662.1074755449845,606669.2285739194,49863.224266349534,CALI,2021-12-01,q1
31 a 50 años,1,2,1493.4890004935398,4986.322426634953,1662.1074755449845,606669.2285739194,49863.224266349534,CALI,2021-12-01,q1
9 a 13 años,1,3,1411.4463858222705,4986.322426634953,1662.1074755449845,606669.2285739194,49863.224266349534,CALI,2021-12-01,q1
31 a 50 años,0,1,2150.7054430479366,5152.386642184263,1717.462214061421,626873.7081324187,51523.86642184263,CALI,2021-12-01,q2
31 a 50 años,1,2,1543.2280783304811,5152.386642184263,1717.462214061421,626873.7081324187,51523.86642184263,CALI,2021-12-01,q2
9 a 13 años,1,3,1458.453120805845,5152.386642184263,1717.462214061421,626873.7081324187,51523.86642184263,CALI,2021-12-01,q2
31 a 50 años,0,1,2231.8762807925787,5346.845414529072,1782.2818048430238,650532.8587677036,53468.454145290714,CALI,2021-12-01,q3
31 a 50 años,1,2,1601.4718124290084,5346.845414529072,1782.2818048430238,650532.8587677036,53468.454145290714,CALI,2021-12-01,q3
9 a 13 años,1,3,1513.4973213074843,5346.845414529072,1782.2818048430238,650532.8587677036,53468.454145290714,CALI,2021-12-01,q3
31 a 50 años,0,1,2121.5867380525942,5082.627751146592,1694.2092503821975,618386.3763895021,50826.27751146592,CALI,2022-01-01,q1
31 a 50 años,1,2,1522.3340952428896,5082.627751146592,1694.2092503821975,618386.3763895021,50826.27751146592,CALI,2022-01-01,q1
9 a 13 años,1,3,1438.706917851108,5082.627751146592,1694.2092503821975,618386.3763895021,50826.27751146592,CALI,2022-01-01,q1
31 a 50 años,0,1,2281.3261689227993,5465.311169048472,1821.770389682824,664946.1922342308,54653.11169048472,CALI,2022-01-01,q2
31 a 50 años,1,2,1636.9543356539043,5465.311169048472,1821.770389682824,664946.1922342308,54653.11169048472,CALI,2022-01-01,q2
9 a 13 años,1,3,1547.0306644717687,5465.311169048472,1821.770389682824,664946.1922342308,54653.11169048472,CALI,2022-01-01,q2
31 a 50 años,0,1,2356.709275532673,5645.904431040048,1881.9681436800158,686918.3724432058,56459.04431040047,CALI,2022-01-01,q3
31 a 50 años,1,2,1691.0451118353562,5645.904431040048,1881.9681436800158,686918.3724432058,56459.04431040047,CALI,2022-01-01,q3
