Demo_Group,Sex,Person,cost_day,total_household,per_capita,per_capita_year,per_capita_month,ciudad,fecha,escenario
9 a 13 años,1,3,3564.477074810065,11111.904612347902,3703.968204115967,1351948.394502328,111119.04612347901,MEDELLÍN,2020-06-01,q1
31 a 50 años,0,1,4064.516604208248,11499.785565328835,3833.2618551096116,1399140.5771150081,114997.85565328835,MEDELLÍN,2020-06-01,q2
31 a 50 años,1,2,3760.7791079838853,11499.785565328835,3833.2618551096116,1399140.5771150081,114997.85565328835,MEDELLÍN,2020-06-01,q2
9 a 13 años,1,3,3674.4898531367016,11499.785565328835,3833.2618551096116,1399140.5771150081,114997.85565328835,MEDELLÍN,2020-06-01,q2
31 a 50 años,0,1,4247.73883308519,12098.668743367365,4032.889581122455,1472004.6971096962,120986.68743367365,MEDELLÍN,2020-06-01,q3
31 a 50 años,1,2,3983.602148454027,12098.668743367365,4032.889581122455,1472004.6971096962,120986.68743367365,MEDELLÍN,2020-06-01,q3
9 a 13 años,1,3,3867.327761828148,12098.668743367365,4032.889581122455,1472004.6971096962,120986.68743367365,MEDELLÍN,2020-06-01,q3
31 a 50 años,0,1,4034.681998112821,11347.97131353608,3782.6571045120268,1380669.8431468897,113479.7131353608,MEDELLÍN,2020-07-01,q1
31 a 50 años,1,2,3692.0508018885985,11347.97131353608,3782.6571045120268,1380669.8431468897,113479.7131353608,MEDELLÍN,2020-07-01,q1
9 a 13 años,1,3,3621.238513534661,11347.97131353608,3782.6571045120268,1380669.8431468897,113479.7131353608,MEDELLÍN,2020-07-01,q1
31 a 50 años,0,1,4150.468657613975,11696.563840068062,3898.8546133560208,1423081.9338749475,116965.63840068062,MEDELLÍN,2020-07-01,q2
31 a 50 años,1,2,3815.6103940356793,11696.563840068062,3898.8546133560208,1423081.9338749475,116965.63840068062,MEDELLÍN,2020-07-01,q2
9 a 13 años,1,3,3730.484788418407,11696.563840068062,3898.8546133560208,1423081.9338749475,116965.63840068062,MEDELLÍN,2020-07-01,q2
31 a 50 años,0,1,4350.677942102827,12323.73786419364,4107.91262139788,1499388.106810226,123237.37864193639,MEDELLÍN,2020-07-01,q3
31 a 50 años,1,2,4044.8456248490074,12323.73786419364,4107.91262139788,1499388.106810226,123237.37864193639,MEDELLÍN,2020-07-01,q3
9 a 13 años,1,3,3928.2142972418046,12323.73786419364,4107.91262139788,1499388.106810226,123237.37864193639,MEDELLÍN,2020-07-01,q3
31 a 50 años,0,1,3857.668194648164,11132.78183740356,3710.9272791345197,1354488.4568840996,111327.81837403559,MEDELLÍN,2020-08-01,q1
31 a 50 años,1,2,3651.6894195693967,11132.78183740356,3710.9272791345197,1354488.4568840996,111327.81837403559,MEDELLÍN,2020-08-01,q1
9 a 13 años,1,3,3623.4242231859985,11132.78183740356,3710.9272791345197,1354488.4568840996,111327.81837403559,MEDELLÍN,2020-08-01,q1
31 a 50 años,0,1,4020.3475070318377,11514.909626041477,3838.3032086804924,1400980.6711683797,115149.09626041478,MEDELLÍN,2020-08-01,q2
31 a 50 años,1,2,3763.7379441681783,11514.909626041477,3838.3032086804924,1400980.6711683797,115149.09626041478,MEDELLÍN,2020-08-01,q2
9 a 13 años,1,3,3730.8241748414603,11514.909626041477,3838.3032086804924,1400980.6711683797,115149.09626041478,MEDELLÍN,2020-08-01,q2
31 a 50 años,0,1,4311.070837601849,12230.307234720505,4076.7690782401683,1488020.7135576615,122303.07234720504,MEDELLÍN,2020-08-01,q3
31 a 50 años,1,2,3991.6275585424246,12230.307234720505,4076.7690782401683,1488020.7135576615,122303.07234720504,MEDELLÍN,2020-08-01,q3
9 a 13 años,1,3,3927.6088385762305,12230.307234720505,4076.7690782401683,1488020.7135576615,122303.07234720504,MEDELLÍN,2020-08-01,q3
31 a 50 años,0,1,3732.382416774018,10897.044571701517,3632.3481905671724,1325807.089557018,108970.44571701517,MEDELLÍN,2020-09-01,q1
31 a 50 años,1,2,3594.977204787769,10897.044571701517,3632.3481905671724,1325807.089557018,108970.44571701517,MEDELLÍN,2020-09-01,q1
9 a 13 años,1,3,3569.68495013973,10897.044571701517,3632.3481905671724,1325807.089557018,108970.44571701517,MEDELLÍN,2020-09-01,q1
31 a 50 años,0,1,3887.821618776235,11274.465646321869,3758.155215440623,1371726.6536358274,112744.6564632187,MEDELLÍN,2020-09-01,q2
31 a 50 años,1,2,3708.78465376797,11274.465646321869,3758.155215440623,1371726.6536358274,112744.6564632187,MEDELLÍN,2020-09-01,q2
9 a 13 años,1,3,3677.859373777663,11274.465646321869,3758.155215440623,1371726.6536358274,112744.6564632187,MEDELLÍN,2020-09-01,q2
31 a 50 años,0,1,4214.533026341116,12017.388266027356,4005.796088675785,1462115.5723666616,120173.88266027355,MEDELLÍN,2020-09-01,q3
31 a 50 años,1,2,3931.9970501635808,12017.388266027356,4005.796088675785,1462115.5723666616,120173.88266027355,MEDELLÍN,2020-09-01,q3
9 a 13 años,1,3,3870.8581895226594,12017.388266027356,4005.796088675785,1462115.5723666616,120173.88266027355,MEDELLÍN,2020-09-01,q3
31 a 50 años,0,1,3712.5473186612553,10888.450842767106,3629.483614255702,1324761.519203331,108884.50842767105,MEDELLÍN,2020-10-01,q1
31 a 50 años,1,2,3624.060631466108,10888.450842767106,3629.483614255702,1324761.519203331,108884.50842767105,MEDELLÍN,2020-10-01,q1
9 a 13 años,1,3,3551.842892639742,10888.450842767106,3629.483614255702,1324761.519203331,108884.50842767105,MEDELLÍN,2020-10-01,q1
31 a 50 años,0,1,3863.562469990307,11252.312608923865,3750.7708696412883,1369031.3674190703,112523.12608923865,MEDELLÍN,2020-10-01,q2
31 a 50 años,1,2,3726.324751345987,11252.312608923865,3750.7708696412883,1369031.3674190703,112523.12608923865,MEDELLÍN,2020-10-01,q2
9 a 13 años,1,3,3662.42538758757,11252.312608923865,3750.7708696412883,1369031.3674190703,112523.12608923865,MEDELLÍN,2020-10-01,q2
31 a 50 años,0,1,4183.794172450652,11990.98652387878,3996.9955079595934,1458903.3604052516,119909.8652387878,MEDELLÍN,2020-10-01,q3
31 a 50 años,1,2,3951.997245692629,11990.98652387878,3996.9955079595934,1458903.3604052516,119909.8652387878,MEDELLÍN,2020-10-01,q3
9 a 13 años,1,3,3855.1951057355,11990.98652387878,3996.9955079595934,1458903.3604052516,119909.8652387878,MEDELLÍN,2020-10-01,q3
31 a 50 años,0,1,3752.0892758942396,10927.178920296621,3642.392973432207,1329473.4353027556,109271.7892029662,MEDELLÍN,2020-11-01,q1
31 a 50 años,1,2,3631.190108875021,10927.178920296621,3642.392973432207,1329473.4353027556,109271.7892029662,MEDELLÍN,2020-11-01,q1
9 a 13 años,1,3,3543.899535527361,10927.178920296621,3642.392973432207,1329473.4353027556,109271.7892029662,MEDELLÍN,2020-11-01,q1
31 a 50 años,0,1,3903.428548098413,11279.636989878334,3759.8789966261115,1372355.8337685307,112796.36989878335,MEDELLÍN,2020-11-01,q2
31 a 50 años,1,2,3729.100442050333,11279.636989878334,3759.8789966261115,1372355.8337685307,112796.36989878335,MEDELLÍN,2020-11-01,q2
9 a 13 años,1,3,3647.107999729588,11279.636989878334,3759.8789966261115,1372355.8337685307,112796.36989878335,MEDELLÍN,2020-11-01,q2
31 a 50 años,0,1,4229.565796223573,12026.219858153418,4008.739952717806,1463190.082741999,120262.19858153418,MEDELLÍN,2020-11-01,q3
31 a 50 años,1,2,3957.270963014366,12026.219858153418,4008.739952717806,1463190.082741999,120262.19858153418,MEDELLÍN,2020-11-01,q3
9 a 13 años,1,3,3839.3830989154794,12026.219858153418,4008.739952717806,1463190.082741999,120262.19858153418,MEDELLÍN,2020-11-01,q3
31 a 50 años,0,1,3756.788017506055,10929.625254451921,3643.2084181506402,1329771.0726249837,109296.2525445192,MEDELLÍN,2020-12-01,q1
31 a 50 años,1,2,3614.5142063620015,10929.625254451921,3643.2084181506402,1329771.0726249837,109296.2525445192,MEDELLÍN,2020-12-01,q1
9 a 13 años,1,3,3558.323030583865,10929.625254451921,3643.2084181506402,1329771.0726249837,109296.2525445192,MEDELLÍN,2020-12-01,q1
31 a 50 años,0,1,3908.090772887936,11274.870528979725,3758.290176326575,1371775.9143591998,112748.70528979725,MEDELLÍN,2020-12-01,q2
31 a 50 años,1,2,3706.0921221233757,11274.870528979725,3758.290176326575,1371775.9143591998,112748.70528979725,MEDELLÍN,2020-12-01,q2
9 a 13 años,1,3,3660.687633968414,11274.870528979725,3758.290176326575,1371775.9143591998,112748.70528979725,MEDELLÍN,2020-12-01,q2
31 a 50 años,0,1,4188.90661834539,11972.541607286068,3990.8472024286893,1456659.2288864716,119725.41607286068,MEDELLÍN,2020-12-01,q3
31 a 50 años,1,2,3930.2356555176943,11972.541607286068,3990.8472024286893,1456659.2288864716,119725.41607286068,MEDELLÍN,2020-12-01,q3
9 a 13 años,1,3,3853.399333422983,11972.541607286068,3990.8472024286893,1456659.2288864716,119725.41607286068,MEDELLÍN,2020-12-01,q3
31 a 50 años,0,1,3764.3930529139534,10951.929507644523,3650.6431692148412,1332484.756763417,109519.29507644524,MEDELLÍN,2021-01-01,q1
31 a 50 años,1,2,3619.786066745383,10951.929507644523,3650.6431692148412,1332484.756763417,109519.29507644524,MEDELLÍN,2021-01-01,q1
9 a 13 años,1,3,3567.750387985188,10951.929507644523,3650.6431692148412,1332484.756763417,109519.29507644524,MEDELLÍN,2021-01-01,q1
31 a 50 años,0,1,3915.886250081378,11297.766441881318,3765.922147293773,1374561.583762227,112977.66441881319,MEDELLÍN,2021-01-01,q2
31 a 50 años,1,2,3711.626715536381,11297.766441881318,3765.922147293773,1374561.583762227,112977.66441881319,MEDELLÍN,2021-01-01,q2
9 a 13 años,1,3,3670.253476263559,11297.766441881318,3765.922147293773,1374561.583762227,112977.66441881319,MEDELLÍN,2021-01-01,q2
31 a 50 años,0,1,4205.043370508328,12003.450397934212,4001.1501326447374,1460419.798415329,120034.50397934212,MEDELLÍN,2021-01-01,q3
31 a 50 años,1,2,3935.4926637116105,12003.450397934212,4001.1501326447374,1460419.798415329,120034.50397934212,MEDELLÍN,2021-01-01,q3
9 a 13 años,1,3,3862.914363714274,12003.450397934212,4001.1501326447374,1460419.798415329,120034.50397934212,MEDELLÍN,2021-01-01,q3
31 a 50 años,0,1,3788.6872136726274,10981.072745651392,3660.3575818837976,1336030.5173875862,109810.72745651392,MEDELLÍN,2021-02-01,q1
31 a 50 años,1,2,3622.3125488451087,10981.072745651392,3660.3575818837976,1336030.5173875862,109810.72745651392,MEDELLÍN,2021-02-01,q1
9 a 13 años,1,3,3570.072983133656,10981.072745651392,3660.3575818837976,1336030.5173875862,109810.72745651392,MEDELLÍN,2021-02-01,q1
31 a 50 años,0,1,3945.156319959677,11361.479869240571,3787.1599564135236,1382313.384090936,113614.7986924057,MEDELLÍN,2021-02-01,q2
31 a 50 años,1,2,3742.8997533394677,11361.479869240571,3787.1599564135236,1382313.384090936,113614.7986924057,MEDELLÍN,2021-02-01,q2
